Year,Current,2022
Market Capitalization,74,147
Enterprise Value,74,147
PE Ratio,517.50,517.53
PB Ratio,-969.88,-969.88
P/FCF Ratio,-91.95,-91.95
P/OCF Ratio,-91.95,-91.95
EV/EBITDA Ratio,126.39,250.31
EV/EBIT Ratio,126.39,250.31
EV/FCF Ratio,-91.94,-91.94
Current Ratio,0.28,0.28
Return on Equity (ROE),136.80%,136.80%
Return on Assets (ROA),0.20%,0.20%
Return on Capital (ROIC),0.50%,0.50%
Earnings Yield,0.38%,0.19%
FCF Yield,-2.15%,-1.09%
Buyback Yield / Dilution,-335.81%,-335.81%
Total Shareholder Return,-335.81%,-335.81%
