Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,"9,312","13,483","13,189","10,626","12,143","12,367","16,755","14,798","15,173","14,322","18,104",Upgrade
Market Cap Growth,-,2.22%,24.12%,-12.49%,-1.81%,-26.19%,13.23%,-2.47%,5.94%,-20.89%,47.20%,Upgrade
Enterprise Value,"11,977","16,609","18,833","13,354","11,302","17,776","21,114","17,506","19,092","19,522","26,608",Upgrade
PE Ratio,-8.84,-8.84,5.86,-59.68,8.75,15.24,5.66,32.18,-32.34,15.47,13.35,Upgrade
PS Ratio,-1.22,-1.22,0.23,0.20,0.16,0.51,0.24,0.26,0.37,0.26,0.27,Upgrade
PB Ratio,0.59,0.90,0.44,0.35,0.44,0.48,0.58,0.58,0.53,0.43,0.58,Upgrade
P/FCF Ratio,2.98,4.55,-6.21,-2.98,1.49,23.91,28.72,4.32,16.80,2.92,-6.38,Upgrade
P/OCF Ratio,2.92,4.45,-6.46,-3.05,1.48,20.81,25.24,4.24,15.29,2.87,-6.54,Upgrade
EV/Sales Ratio,-1.50,-1.50,0.33,0.25,0.15,0.74,0.30,0.31,0.46,0.35,0.40,Upgrade
EV/EBITDA Ratio,-33.79,-33.79,4.75,16.98,3.19,6.02,4.69,7.69,12.42,7.23,7.58,Upgrade
EV/EBIT Ratio,-9.63,-9.63,7.14,-142.21,5.12,12.35,5.92,17.40,-170.72,12.53,12.55,Upgrade
EV/FCF Ratio,4.04,5.60,-8.86,-3.74,1.38,34.37,36.19,5.11,21.13,3.97,-9.38,Upgrade
Debt / Equity Ratio,0.45,0.45,0.45,0.43,0.47,0.60,0.60,0.57,0.50,0.54,0.52,Upgrade
Debt / EBITDA Ratio,-13.74,-13.74,3.40,16.45,3.66,5.24,3.84,6.43,9.32,6.68,4.65,Upgrade
Debt / FCF Ratio,2.28,2.28,-6.34,-3.62,1.59,29.89,29.63,4.28,15.87,3.67,-5.76,Upgrade
Asset Turnover,-0.02,-0.02,0.11,0.10,0.16,0.05,0.14,0.13,0.09,0.12,0.14,Upgrade
Return on Equity (ROE),-7.10%,-7.10%,7.80%,-0.60%,5.30%,3.00%,10.20%,1.70%,-1.60%,3.00%,4.00%,Upgrade
Return on Assets (ROA),-0.30%,-0.30%,0.40%,0.00%,0.30%,0.20%,0.60%,0.10%,-0.10%,0.20%,0.30%,Upgrade
Return on Capital (ROIC),-0.40%,-0.40%,0.50%,0.00%,0.50%,0.30%,0.70%,0.20%,0.00%,0.30%,0.40%,Upgrade
Earnings Yield,-17.22%,-11.31%,17.06%,-1.68%,11.43%,6.56%,17.69%,3.11%,-3.09%,6.47%,7.49%,Upgrade
FCF Yield,33.51%,22.00%,-16.11%,-33.59%,67.20%,4.18%,3.48%,23.14%,5.95%,34.30%,-15.67%,Upgrade
Dividend Yield,4.29%,4.29%,3.36%,1.80%,7.42%,7.18%,3.92%,5.24%,4.41%,3.97%,3.10%,Upgrade
Payout Ratio,-27.80%,-27.80%,15.50%,-64.70%,53.40%,100.20%,18.10%,183.70%,-85.30%,84.90%,59.40%,Upgrade
Buyback Yield / Dilution,-0.59%,-0.20%,0.75%,-0.35%,-0.79%,-,0.61%,-,-40.13%,-,-,Upgrade
Total Shareholder Return,-0.59%,4.09%,4.11%,1.44%,6.62%,7.18%,4.53%,5.24%,-35.72%,3.97%,3.10%,Upgrade
