Year,Current,2022,2021,2020,2019
Market Capitalization,"1,557","1,859",-,-,-
Enterprise Value,"13,814","13,956","4,264","4,093","4,381"
PE Ratio,1.66,2.04,-,-,-
PS Ratio,0.14,0.18,-,-,-
PB Ratio,8.01,5.18,-,-,-
P/FCF Ratio,-3.04,-4.22,-,-,-
P/OCF Ratio,219.83,10.27,-,-,-
EV/Sales Ratio,1.23,1.32,0.44,0.43,0.44
EV/EBITDA Ratio,5.81,6.52,4.15,5.04,5.50
EV/EBIT Ratio,10.22,11.18,10.03,18.03,15.82
EV/FCF Ratio,-22.10,-31.65,-42.22,88.98,11.94
Debt / Equity Ratio,68.73,35.97,-10.17,4.23,3.79
Debt / EBITDA Ratio,5.55,6.03,5.10,6.39,6.64
Debt / FCF Ratio,-20.49,-29.28,-51.94,112.80,14.41
Current Ratio,0.89,0.82,0.69,0.98,1.01
Asset Turnover,0.45,0.48,0.59,0.58,-
Return on Equity (ROE),458.00%,-2869.30%,10.10%,-12.50%,-
Return on Assets (ROA),3.40%,4.10%,0.20%,-1.00%,-
Return on Capital (ROIC),8.30%,8.90%,4.60%,2.20%,-
Earnings Yield,54.91%,49.00%,-,-,-
FCF Yield,-41.85%,-23.72%,-,-,-
Dividend Yield,1.17%,-,-,-,-
Buyback Yield / Dilution,0.05%,-26.85%,-,-,-
Total Shareholder Return,1.24%,-26.85%,-,-,-
