Year,Current,2021,2020,2019,2018
Market Capitalization,"2,216","3,580","3,344",-,-
Market Cap Growth,-,7.05%,-,-,-
Enterprise Value,"2,261","3,596","3,160",53,103
PE Ratio,-508.74,18.47,53.39,-,-
PS Ratio,17.59,2.62,4.25,-,-
PB Ratio,2.92,4.38,13.41,-,-
P/FCF Ratio,12.16,16.87,22.59,-,-
P/OCF Ratio,11.93,16.71,22.40,-,-
EV/Sales Ratio,18.13,2.63,4.01,0.12,0.40
EV/EBITDA Ratio,45.25,14.37,32.00,2.50,5.22
EV/EBIT Ratio,760.26,16.11,33.89,3.76,8.67
EV/FCF Ratio,12.53,16.95,21.35,0.82,2.13
Debt / Equity Ratio,0.28,0.16,-,0.66,1.12
Debt / EBITDA Ratio,4.15,0.53,-,6.74,7.27
Debt / FCF Ratio,1.15,0.63,-,2.20,2.97
Asset Turnover,0.03,0.40,0.86,0.76,-
Return on Equity (ROE),-0.70%,30.00%,38.50%,0.00%,-
Return on Assets (ROA),-0.10%,5.70%,6.80%,0.00%,-
Return on Capital (ROIC),0.10%,8.40%,11.80%,2.20%,-
Earnings Yield,-0.25%,5.42%,1.87%,-,-
FCF Yield,8.22%,5.93%,4.43%,-,-
Dividend Yield,3.69%,0.66%,0.07%,-,-
Payout Ratio,-441.20%,11.30%,3.30%,-,-
Buyback Yield / Dilution,-1.15%,-61.08%,68.72%,-,-
Total Shareholder Return,2.54%,-60.42%,68.79%,-,-
