Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,75,81,114,149,189,115,142,114,108,86,91,Upgrade
Market Cap Growth,-,-29.26%,-23.36%,-21.34%,63.83%,-18.61%,24.25%,5.71%,25.30%,-5.43%,19.91%,Upgrade
Enterprise Value,53,56,-39,38,98,53,42,-1,4,20,52,Upgrade
PE Ratio,7.46,7.79,14.17,19.95,19.40,13.06,18.07,14.00,13.73,11.56,12.80,Upgrade
PS Ratio,2.29,2.47,3.95,5.20,5.94,3.99,5.01,4.29,3.99,3.40,3.27,Upgrade
PB Ratio,1.04,1.19,1.10,1.38,1.92,1.30,1.63,1.39,1.35,1.14,1.41,Upgrade
P/FCF Ratio,6.58,9.89,-14.51,108.29,20.91,9.69,18.21,12.29,11.58,8.80,6.32,Upgrade
P/OCF Ratio,5.50,7.34,9.25,15.28,17.42,9.50,15.08,10.88,9.94,8.18,6.64,Upgrade
EV/Sales Ratio,1.59,1.71,-1.35,1.35,3.07,1.82,1.49,-0.02,0.15,0.77,1.88,Upgrade
EV/EBITDA Ratio,3.66,3.89,-3.64,3.59,7.36,4.40,3.37,-0.05,0.35,1.77,5.12,Upgrade
EV/EBIT Ratio,4.15,4.35,-4.12,4.25,8.06,4.77,3.67,-0.05,0.39,1.91,5.57,Upgrade
EV/FCF Ratio,4.56,6.86,4.95,28.04,10.80,4.42,5.41,-0.07,0.45,1.99,3.64,Upgrade
Debt / Equity Ratio,0.03,0.04,0.03,0.02,0.01,0.03,0.07,0.08,0.13,0.22,0.24,Upgrade
Debt / EBITDA Ratio,0.17,0.18,0.32,0.22,0.08,0.19,0.47,0.53,0.86,1.53,1.52,Upgrade
Debt / FCF Ratio,0.21,0.31,-0.44,1.74,0.12,0.19,0.75,0.71,1.09,1.73,1.08,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,Upgrade
Return on Equity (ROE),14.70%,14.30%,7.70%,7.10%,10.30%,10.20%,9.20%,9.70%,10.00%,10.30%,10.70%,Upgrade
Return on Assets (ROA),1.00%,1.00%,0.80%,0.80%,1.20%,1.10%,0.90%,1.00%,1.00%,1.00%,0.90%,Upgrade
Return on Capital (ROIC),1.30%,1.30%,1.00%,1.10%,1.60%,1.50%,1.50%,1.60%,1.50%,1.40%,1.30%,Upgrade
Earnings Yield,13.42%,12.84%,7.06%,5.01%,5.15%,7.66%,5.54%,7.14%,7.28%,8.65%,7.82%,Upgrade
FCF Yield,15.19%,10.12%,-6.89%,0.92%,4.78%,10.32%,5.49%,8.14%,8.63%,11.36%,15.82%,Upgrade
Dividend Yield,4.99%,4.62%,3.24%,2.45%,1.89%,3.03%,2.37%,2.87%,2.97%,3.64%,3.36%,Upgrade
Payout Ratio,36.50%,35.90%,45.80%,48.80%,36.80%,39.70%,42.80%,40.20%,40.70%,42.20%,43.10%,Upgrade
Buyback Yield / Dilution,0.47%,0.97%,0.59%,0.43%,1.71%,-0.00%,-0.00%,-0.00%,-0.00%,-0.01%,-0.00%,Upgrade
Total Shareholder Return,5.36%,5.59%,3.82%,2.87%,3.60%,3.03%,2.36%,2.87%,2.97%,3.63%,3.36%,Upgrade
