Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"2,355","2,632","4,114","2,990","1,907","1,933","2,587","1,754","1,505","1,792"
Market Cap Growth,-,-36.01%,37.57%,56.80%,-1.36%,-25.27%,47.54%,16.55%,-16.05%,-
Enterprise Value,"2,359","2,617","3,785","2,984","1,936","1,672","2,373","1,434","1,256","1,593"
PE Ratio,27.48,17.51,11.26,16.72,18.15,13.74,88.00,45.68,45.45,-595.03
PS Ratio,2.65,2.67,2.67,3.17,2.56,2.18,3.78,2.86,2.73,3.46
PB Ratio,5.61,5.92,8.41,6.23,4.31,4.78,7.96,8.28,8.94,15.81
P/FCF Ratio,15.50,97.36,4.47,7.70,9.40,5.04,11.37,7.67,10.84,8.74
P/OCF Ratio,15.03,79.78,4.39,6.97,9.11,4.95,11.09,7.57,10.54,8.58
EV/Sales Ratio,2.71,2.66,2.46,3.16,2.59,1.89,3.47,2.34,2.28,3.07
EV/EBITDA Ratio,18.55,12.71,7.79,12.69,15.89,9.51,9.24,21.60,21.07,122.61
EV/EBIT Ratio,19.80,13.22,7.91,12.94,16.56,9.77,9.37,22.69,22.05,148.53
EV/FCF Ratio,15.86,96.81,4.11,7.68,9.55,4.35,10.43,6.27,9.05,7.77
Debt / Equity Ratio,0.46,0.43,0.39,0.41,0.45,-,-,-,-,-
Debt / EBITDA Ratio,1.49,0.94,0.40,0.84,1.62,-,-,-,-,-
Debt / FCF Ratio,1.27,7.13,0.21,0.51,0.97,-,-,-,-,-
Asset Turnover,0.78,0.86,1.20,0.91,0.91,1.15,1.02,1.28,1.28,1.41
Return on Equity (ROE),20.50%,34.40%,76.90%,40.10%,26.70%,38.00%,9.80%,19.80%,23.10%,-2.20%
Return on Assets (ROA),7.90%,13.10%,28.30%,17.30%,12.80%,18.20%,4.40%,8.00%,7.70%,-0.80%
Return on Capital (ROIC),10.30%,16.70%,40.10%,21.00%,14.40%,27.60%,50.70%,21.40%,19.70%,6.10%
Earnings Yield,3.83%,5.71%,8.88%,5.98%,5.51%,7.28%,1.14%,2.19%,2.20%,-0.17%
FCF Yield,6.45%,1.03%,22.38%,12.99%,10.64%,19.86%,8.79%,13.04%,9.22%,11.44%
Dividend Yield,6.78%,6.25%,10.88%,8.88%,10.18%,14.19%,5.11%,9.71%,3.43%,1.15%
Payout Ratio,179.10%,104.80%,117.40%,131.40%,155.50%,149.70%,258.30%,179.80%,60.60%,-210.50%
Buyback Yield / Dilution,-2.21%,-4.24%,-2.91%,-7.04%,-6.25%,-5.42%,-3.13%,-0.32%,-0.49%,0.34%
Total Shareholder Return,4.72%,2.01%,7.97%,1.84%,3.94%,8.78%,1.99%,9.39%,2.93%,1.49%
