Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,110,114,135,62,155,65,98,123,123,443,500,Upgrade
Market Cap Growth,-,-15.19%,116.82%,-60.02%,138.46%,-33.74%,-20.10%,0.08%,-72.22%,-11.39%,-6.56%,Upgrade
Enterprise Value,71,77,110,32,115,12,71,186,201,613,524,Upgrade
PE Ratio,-6.69,-6.69,22.80,214.73,-10.97,0.78,-2.62,-6.53,-0.35,-754.65,54.63,Upgrade
PS Ratio,2.34,2.46,2.42,1.33,1.80,0.63,0.46,0.15,0.10,0.37,0.86,Upgrade
PB Ratio,0.46,0.48,0.47,0.22,0.58,0.23,0.45,0.51,0.46,0.66,0.71,Upgrade
P/FCF Ratio,4.54,4.77,-22.67,-4.68,-19.34,-13.81,78.96,1.66,-1.55,-19.28,32.80,Upgrade
P/OCF Ratio,4.86,5.11,-25.99,-3.73,-20.76,-12.24,-39.17,1.66,-1.67,173.86,29.77,Upgrade
EV/Sales Ratio,1.53,1.65,1.97,0.68,1.34,0.12,0.33,0.22,0.17,0.51,0.90,Upgrade
EV/EBITDA Ratio,-9.19,-9.19,4.57,1.63,-20.43,0.09,-3.77,14.15,-0.55,20.99,26.96,Upgrade
EV/EBIT Ratio,-4.75,-4.75,7.13,3.05,-9.64,0.10,-2.95,43.54,-0.55,28.06,30.17,Upgrade
EV/FCF Ratio,2.97,3.21,-18.43,-2.38,-14.37,-2.56,57.16,2.51,-2.52,-26.71,34.38,Upgrade
Debt / Equity Ratio,0.13,0.13,0.12,0.12,0.11,0.01,0.16,0.65,0.85,0.71,0.52,Upgrade
Debt / EBITDA Ratio,-3.76,-3.76,1.37,1.75,-5.43,0.02,-1.90,11.99,-0.62,16.21,18.75,Upgrade
Debt / FCF Ratio,1.31,1.31,-5.53,-2.56,-3.82,-0.62,28.88,2.13,-2.83,-20.62,23.91,Upgrade
Current Ratio,4.18,4.18,11.80,8.01,5.46,3.75,1.61,1.87,1.90,2.28,2.26,Upgrade
Asset Turnover,0.13,0.13,0.14,0.12,0.22,0.31,0.56,1.25,1.41,0.95,0.46,Upgrade
Return on Equity (ROE),-6.80%,-6.80%,2.10%,0.10%,-5.00%,33.80%,-15.70%,-7.50%,-95.20%,-0.10%,1.30%,Upgrade
Return on Assets (ROA),-4.70%,-4.70%,1.50%,0.10%,-3.70%,24.80%,-9.80%,-2.80%,-41.90%,0.00%,0.70%,Upgrade
Return on Capital (ROIC),-4.90%,-4.90%,4.10%,2.90%,-3.60%,49.20%,-7.10%,0.80%,-56.40%,2.00%,1.70%,Upgrade
Earnings Yield,-15.72%,-14.94%,4.39%,0.47%,-9.11%,127.59%,-38.21%,-15.33%,-285.63%,-0.13%,1.83%,Upgrade
FCF Yield,22.04%,20.96%,-4.41%,-21.37%,-5.17%,-7.24%,1.27%,60.23%,-64.71%,-5.19%,3.05%,Upgrade
Dividend Yield,7.98%,11.28%,-,-,-,-,-,-,-,0.68%,0.60%,Upgrade
Payout Ratio,-75.40%,-75.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-564.50%,31.90%,Upgrade
Buyback Yield / Dilution,-0.22%,0.65%,-0.87%,-0.09%,-0.07%,0.07%,0.67%,-,-0.29%,-0.32%,-0.32%,Upgrade
Total Shareholder Return,7.83%,11.93%,-0.87%,-0.09%,-0.07%,0.07%,0.67%,-,-0.29%,0.36%,0.28%,Upgrade
