Year,Current,2022,2021
Market Capitalization,66,195,181
Market Cap Growth,-,7.86%,-
Enterprise Value,68,198,180
PE Ratio,1093.85,3238.20,-216.82
PB Ratio,-25.23,-25.23,-41.99
P/FCF Ratio,-221.71,-221.71,-265.51
P/OCF Ratio,-221.71,-221.71,-265.51
EV/EBITDA Ratio,278.25,804.05,-216.01
EV/EBIT Ratio,278.25,804.05,-216.01
EV/FCF Ratio,-224.51,-224.51,-264.51
Debt / Equity Ratio,-0.36,-0.36,-
Debt / EBITDA Ratio,11.26,11.26,-
Debt / FCF Ratio,-3.15,-3.15,-
Current Ratio,0.12,0.12,1.94
Return on Equity (ROE),-1.10%,-1.10%,41.40%
Return on Assets (ROA),0.10%,0.10%,-1.20%
Return on Capital (ROIC),0.20%,0.20%,-1.20%
Earnings Yield,0.09%,0.03%,-0.46%
FCF Yield,-1.34%,-0.45%,-0.38%
Buyback Yield / Dilution,-43.83%,-43.83%,-
Total Shareholder Return,-43.83%,-43.83%,-
