Year,Current,2022,2021,2020
Market Capitalization,779,"1,204",423,444
Market Cap Growth,-,184.40%,-4.76%,-
Enterprise Value,793,"1,153",462,449
PE Ratio,2.83,4.59,3.90,-18.57
PS Ratio,1.33,2.42,1.46,5.10
PB Ratio,1.21,1.93,0.89,13.38
P/FCF Ratio,11.53,10.33,-48.86,-8.90
P/OCF Ratio,1.83,3.47,2.34,6.65
EV/Sales Ratio,1.35,2.32,1.59,5.16
EV/EBITDA Ratio,1.71,3.01,2.25,7.77
EV/EBIT Ratio,2.44,4.16,4.17,-20.35
EV/FCF Ratio,11.74,9.89,-53.39,-9.00
Debt / Equity Ratio,0.04,-,0.11,0.19
Debt / EBITDA Ratio,0.05,-,0.25,0.11
Debt / FCF Ratio,0.37,-,-5.90,-0.13
Current Ratio,1.60,2.28,1.45,0.43
Asset Turnover,0.90,1.13,0.65,-
Return on Equity (ROE),55.90%,69.40%,91.10%,-
Return on Assets (ROA),45.90%,59.40%,24.20%,-
Return on Capital (ROIC),55.00%,70.20%,25.20%,-
Earnings Yield,38.38%,21.80%,25.63%,-5.39%
FCF Yield,8.67%,9.68%,-2.05%,-11.24%
Dividend Yield,3.51%,-,-,-
Buyback Yield / Dilution,-0.06%,-0.11%,-,-
Total Shareholder Return,3.45%,-0.11%,-,-
