Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,"1,527","1,442","1,710","1,403","1,427","1,183","1,192","1,115",879,905,-,Upgrade
Market Cap Growth,-,-15.70%,21.85%,-1.69%,20.68%,-0.81%,6.90%,26.97%,-2.91%,-,-,Upgrade
Enterprise Value,"3,064","2,858","2,880","2,500","2,508","1,780","1,889","1,790","1,519","1,298",429,Upgrade
PE Ratio,9.41,13.34,8.07,7.88,9.23,9.94,10.68,8.14,13.82,10.64,-,Upgrade
PS Ratio,4.51,4.66,6.14,5.20,5.68,4.52,5.65,5.80,5.07,5.54,-,Upgrade
PB Ratio,1.13,1.07,1.34,1.21,1.27,1.11,1.23,1.17,1.07,1.08,-,Upgrade
P/FCF Ratio,-3.93,-6.42,697.35,9.67,-3.78,9.92,14.47,-26.66,-4.60,-6.08,-,Upgrade
P/OCF Ratio,-3.93,-6.42,697.35,9.67,-3.78,9.92,14.47,-26.66,-4.60,-6.08,-,Upgrade
EV/Sales Ratio,9.05,9.24,10.34,9.26,9.97,6.80,8.96,9.30,8.76,7.95,4.63,Upgrade
EV/EBITDA Ratio,14.93,16.40,11.39,11.20,12.09,10.78,13.32,11.03,17.44,12.82,5.52,Upgrade
EV/EBIT Ratio,14.93,16.40,11.39,11.20,12.09,10.78,13.32,11.03,17.44,12.82,5.52,Upgrade
EV/FCF Ratio,-7.98,-12.73,1174.51,17.24,-6.63,14.94,22.93,-42.78,-7.95,-8.72,-1.48,Upgrade
Debt / Equity Ratio,1.15,1.07,0.93,0.96,0.98,0.57,0.73,0.71,0.78,0.47,0.75,Upgrade
Debt / EBITDA Ratio,7.62,8.28,4.69,4.97,5.28,3.68,4.96,4.19,7.38,3.91,5.57,Upgrade
Debt / FCF Ratio,-4.12,-6.42,483.67,7.65,-2.90,5.10,8.54,-16.27,-3.36,-2.66,-1.49,Upgrade
Asset Turnover,0.12,0.12,0.11,0.13,0.12,0.14,0.13,0.12,0.12,0.13,0.10,Upgrade
Return on Equity (ROE),9.10%,8.30%,17.20%,16.10%,14.00%,11.20%,11.60%,14.80%,7.60%,10.30%,12.30%,Upgrade
Return on Assets (ROA),4.30%,4.00%,8.50%,8.30%,7.50%,6.20%,6.90%,8.40%,4.40%,6.80%,7.20%,Upgrade
Return on Capital (ROIC),4.90%,4.40%,6.90%,7.20%,7.00%,6.10%,6.40%,7.10%,4.40%,6.30%,6.50%,Upgrade
Earnings Yield,7.87%,7.50%,12.39%,12.69%,10.83%,10.06%,9.36%,12.28%,7.24%,9.40%,-,Upgrade
FCF Yield,-24.84%,-15.58%,0.14%,10.34%,-26.49%,10.08%,6.91%,-3.75%,-21.74%,-16.45%,-,Upgrade
Dividend Yield,10.56%,9.98%,16.31%,11.02%,8.38%,9.91%,8.80%,8.19%,9.59%,8.54%,-,Upgrade
Payout Ratio,126.40%,133.30%,122.50%,86.80%,77.40%,98.40%,94.10%,66.70%,132.20%,91.10%,0.00%,Upgrade
Buyback Yield / Dilution,-7.15%,-0.64%,-15.61%,-1.73%,-3.19%,-6.72%,-2.40%,-8.49%,-6.92%,-45.83%,-68.61%,Upgrade
Total Shareholder Return,3.42%,9.34%,0.70%,9.29%,5.19%,3.18%,6.41%,-0.30%,2.67%,-37.29%,-68.61%,Upgrade
