Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,"12,032","14,805","25,387","20,263","23,269","16,861","30,216","29,940","25,357","24,804",-,Upgrade
Market Cap Growth,-,-41.68%,25.29%,-12.92%,38.00%,-44.20%,0.92%,18.07%,2.23%,-,-,Upgrade
Enterprise Value,"11,580","18,702","31,557","24,514","30,988","31,461","39,413","40,766","37,311","40,436","22,002",Upgrade
PE Ratio,4.88,4.98,6.08,15.09,6.21,6.04,15.62,13.30,11.45,11.76,-,Upgrade
PS Ratio,1.51,1.78,2.68,3.46,2.55,2.18,4.27,4.29,3.73,3.93,-,Upgrade
PB Ratio,0.91,1.15,1.86,1.60,1.54,1.15,2.12,2.11,2.01,2.37,-,Upgrade
P/FCF Ratio,1.66,2.21,3.58,2.71,2.59,1.80,3.52,4.60,4.10,4.65,-,Upgrade
P/OCF Ratio,1.66,2.21,3.58,2.71,2.59,1.80,3.52,4.60,4.10,4.65,-,Upgrade
EV/Sales Ratio,1.46,2.25,3.33,4.19,3.39,4.07,5.57,5.84,5.49,6.41,3.91,Upgrade
EV/EBITDA Ratio,2.97,4.31,5.39,11.47,5.90,7.97,11.02,10.76,10.07,11.50,6.78,Upgrade
EV/EBIT Ratio,3.33,4.77,5.78,13.97,6.34,8.63,11.86,11.42,10.57,11.94,7.00,Upgrade
EV/FCF Ratio,1.61,2.79,4.45,3.27,3.45,3.37,4.60,6.26,6.03,7.57,3.87,Upgrade
Debt / Equity Ratio,1.13,1.10,1.06,1.24,1.32,1.63,1.46,1.42,1.93,2.62,4.08,Upgrade
Debt / EBITDA Ratio,3.83,3.27,2.48,7.38,3.78,6.08,5.81,5.32,6.55,7.81,7.49,Upgrade
Debt / FCF Ratio,2.08,2.12,2.04,2.11,2.21,2.57,2.43,3.09,3.93,5.14,4.28,Upgrade
Asset Turnover,0.08,0.08,0.10,0.06,0.09,0.08,0.08,0.08,0.09,0.09,0.10,Upgrade
Return on Equity (ROE),20.10%,22.60%,30.30%,11.00%,25.10%,19.40%,13.50%,16.30%,18.70%,25.70%,37.50%,Upgrade
Return on Assets (ROA),2.60%,3.00%,4.50%,1.40%,3.50%,2.70%,2.10%,2.60%,2.80%,3.10%,3.50%,Upgrade
Return on Capital (ROIC),3.40%,3.90%,5.80%,1.80%,4.40%,3.30%,3.40%,3.90%,4.00%,4.00%,4.00%,Upgrade
Earnings Yield,22.11%,20.09%,16.46%,6.63%,16.10%,16.55%,6.40%,7.52%,8.73%,8.50%,-,Upgrade
FCF Yield,60.12%,45.22%,27.96%,36.95%,38.63%,55.40%,28.38%,21.75%,24.39%,21.53%,-,Upgrade
Dividend Yield,3.28%,2.74%,1.90%,2.54%,2.39%,3.07%,1.45%,0.72%,-,-,-,Upgrade
Payout Ratio,15.80%,14.50%,11.90%,38.60%,15.40%,19.10%,23.00%,9.60%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,16.16%,17.67%,6.26%,9.66%,10.09%,8.16%,5.19%,1.00%,-0.01%,-0.42%,-,Upgrade
Total Shareholder Return,19.46%,20.41%,8.15%,12.19%,12.48%,11.23%,6.64%,1.72%,-0.01%,-0.42%,-,Upgrade
