Year,Current,2022,2021,2020,2019,2018
Market Capitalization,451,514,609,-,-,-
Market Cap Growth,-,-15.51%,-,-,-,-
Enterprise Value,221,277,341,-14,2,7
PE Ratio,11.49,12.40,16.25,-,-,-
PS Ratio,5.45,6.67,7.29,-,-,-
PB Ratio,1.69,1.98,2.40,-,-,-
P/FCF Ratio,12.09,16.50,9.89,-,-,-
P/OCF Ratio,11.46,15.88,9.80,-,-,-
EV/Sales Ratio,2.74,3.59,4.08,-0.21,0.02,0.17
EV/EBITDA Ratio,4.07,4.77,6.67,-0.30,0.03,0.27
EV/EBIT Ratio,4.32,5.03,7.01,-0.32,0.03,0.32
EV/FCF Ratio,6.08,8.88,5.54,-0.32,0.04,0.32
Debt / Equity Ratio,0.19,0.19,0.06,5.53,0.95,1.40
Debt / EBITDA Ratio,0.90,0.85,0.30,0.44,0.47,0.86
Debt / FCF Ratio,1.34,1.59,0.25,0.48,0.66,1.05
Current Ratio,13.63,9.35,9.32,0.74,1.53,1.69
Asset Turnover,0.25,0.25,0.28,1.06,1.15,0.88
Return on Equity (ROE),15.10%,15.90%,14.40%,267.30%,173.50%,93.80%
Return on Assets (ROA),12.30%,13.30%,12.60%,53.20%,58.90%,29.00%
Return on Capital (ROIC),17.50%,19.30%,20.60%,106.00%,75.50%,39.80%
Earnings Yield,9.11%,8.06%,6.15%,-,-,-
FCF Yield,8.27%,6.06%,10.11%,-,-,-
Dividend Yield,8.77%,8.19%,4.30%,-,-,-
Payout Ratio,76.30%,100.60%,68.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.91%,-,-2.48%,-,-,-
Total Shareholder Return,10.76%,8.19%,1.82%,-,-,-
