Year,Current,2022,2021
Market Capitalization,118,90,225
Market Cap Growth,-,-60.03%,-
Enterprise Value,120,91,224
PE Ratio,30.56,12.49,35.23
PB Ratio,-12.60,-12.60,-24.15
P/FCF Ratio,-109.91,-109.91,-642.06
P/OCF Ratio,-109.91,-109.91,-642.06
EV/EBITDA Ratio,15.88,12.10,35.15
EV/EBIT Ratio,15.88,12.10,35.15
EV/FCF Ratio,-111.49,-111.49,-640.70
Debt / Equity Ratio,-0.19,-0.19,-
Debt / EBITDA Ratio,0.18,0.18,-
Debt / FCF Ratio,-1.66,-1.66,-
Current Ratio,0.07,0.07,1.94
Return on Equity (ROE),-110.60%,-110.60%,-183.70%
Return on Assets (ROA),5.00%,5.00%,4.80%
Return on Capital (ROIC),5.30%,5.30%,4.80%
Earnings Yield,6.08%,8.00%,2.84%
FCF Yield,-0.69%,-0.91%,-0.16%
Buyback Yield / Dilution,-16.34%,-16.34%,-
Total Shareholder Return,-16.34%,-16.34%,-
