Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,169,185,242,171,222,196,278,255,168,138,122,Upgrade
Market Cap Growth,-,-23.45%,41.30%,-22.95%,13.13%,-29.48%,9.15%,51.42%,22.35%,12.78%,43.11%,Upgrade
Enterprise Value,486,510,556,482,589,492,493,424,317,238,191,Upgrade
PE Ratio,-604.92,-66.41,7.45,103.93,11.56,33.56,22.90,10.46,9.41,9.90,12.50,Upgrade
PS Ratio,2.70,3.27,4.49,2.78,3.26,3.36,5.45,5.66,4.56,4.60,6.70,Upgrade
PB Ratio,0.74,0.82,0.97,0.73,0.89,0.76,1.00,1.06,0.91,1.03,0.88,Upgrade
P/FCF Ratio,18.99,13.11,12.08,2.28,-5.66,-3.56,-4.00,-4.92,-2.03,-11.95,-1.94,Upgrade
P/OCF Ratio,18.99,13.11,12.08,2.28,-5.66,-3.56,-4.00,-4.92,-2.03,-11.95,-1.94,Upgrade
EV/Sales Ratio,7.99,9.01,10.32,7.83,8.63,8.43,9.65,9.43,8.59,7.96,10.51,Upgrade
EV/EBITDA Ratio,24.30,32.47,11.39,24.10,14.90,27.16,23.98,13.63,13.62,13.05,15.10,Upgrade
EV/EBIT Ratio,24.30,32.47,11.39,24.10,14.90,27.16,23.98,13.63,13.62,13.05,15.10,Upgrade
EV/FCF Ratio,56.09,36.13,27.78,6.43,-15.00,-8.93,-7.09,-8.18,-3.83,-20.68,-3.04,Upgrade
Debt / Equity Ratio,1.47,1.47,1.33,1.47,1.59,1.21,0.80,0.74,0.88,0.79,0.61,Upgrade
Debt / EBITDA Ratio,16.42,21.03,6.80,17.17,10.03,17.31,10.79,5.71,6.98,5.82,6.62,Upgrade
Debt / FCF Ratio,37.90,23.40,16.60,4.58,-10.10,-5.69,-3.19,-3.43,-1.97,-9.23,-1.33,Upgrade
Asset Turnover,0.11,0.10,0.09,0.11,0.10,0.11,0.11,0.12,0.12,0.12,0.10,Upgrade
Return on Equity (ROE),-0.10%,-1.20%,13.30%,0.70%,7.60%,2.20%,4.50%,11.40%,10.60%,10.40%,8.70%,Upgrade
Return on Assets (ROA),0.00%,-0.50%,5.60%,0.30%,2.90%,1.10%,2.60%,6.30%,5.70%,5.70%,5.40%,Upgrade
Return on Capital (ROIC),2.30%,1.80%,5.60%,2.20%,3.80%,2.40%,3.20%,5.80%,5.30%,5.30%,5.40%,Upgrade
Earnings Yield,-0.17%,-1.51%,13.43%,0.96%,8.65%,2.98%,4.37%,9.56%,10.63%,10.11%,8.00%,Upgrade
FCF Yield,5.27%,7.63%,8.28%,43.80%,-17.68%,-28.08%,-25.00%,-20.35%,-49.14%,-8.37%,-51.53%,Upgrade
Dividend Yield,13.02%,11.71%,8.88%,13.45%,12.89%,14.51%,9.37%,7.99%,9.71%,9.48%,8.50%,Upgrade
Payout Ratio,-10000.00%,-769.20%,66.20%,1375.00%,148.90%,482.80%,215.40%,83.30%,91.50%,93.80%,106.20%,Upgrade
Buyback Yield / Dilution,-0.99%,-2.53%,-2.34%,-0.53%,-9.19%,-28.04%,-24.51%,-21.75%,-25.87%,-41.55%,Upgrade,
Total Shareholder Return,13.16%,10.72%,6.35%,11.11%,12.36%,5.31%,-18.67%,-16.52%,-12.03%,-16.38%,-33.06%,Upgrade
