Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,"6,856","8,182","10,617","8,006","8,161","6,886","14,875","12,395","14,191","17,026","16,135",Upgrade
Market Cap Growth,-,-22.94%,32.61%,-1.90%,18.52%,-53.71%,20.01%,-12.66%,-16.65%,5.52%,39.28%,Upgrade
Enterprise Value,"14,231","14,825","17,891","15,093","14,775","12,715","19,233","16,830","19,486","21,835","19,991",Upgrade
PE Ratio,10.86,18.30,9.18,27.80,18.50,7.80,13.20,14.51,14.66,17.23,17.16,Upgrade
PS Ratio,1.23,1.35,1.54,1.30,1.33,1.30,2.88,2.62,2.77,3.31,3.47,Upgrade
PB Ratio,0.47,0.54,0.69,0.56,0.59,0.80,1.71,1.65,1.80,2.05,1.92,Upgrade
P/FCF Ratio,9.30,16.03,10.95,7.18,8.22,9.48,14.22,24.48,14.14,15.95,23.32,Upgrade
P/OCF Ratio,7.33,11.63,9.85,6.51,7.31,8.31,12.85,18.95,12.58,14.18,20.68,Upgrade
EV/Sales Ratio,2.44,2.45,2.59,2.46,2.42,2.39,3.73,3.55,3.80,4.24,4.30,Upgrade
EV/EBITDA Ratio,11.73,11.52,8.04,13.49,13.27,9.14,11.97,12.13,12.64,14.17,13.04,Upgrade
EV/EBIT Ratio,13.95,13.59,8.86,16.48,15.79,10.18,12.91,13.09,13.46,15.04,13.83,Upgrade
EV/FCF Ratio,18.42,29.05,18.46,13.53,14.89,17.51,18.39,33.24,19.41,20.46,28.89,Upgrade
Debt / Equity Ratio,0.54,0.53,0.61,0.61,0.60,0.89,0.79,0.87,0.95,0.81,0.69,Upgrade
Debt / EBITDA Ratio,6.81,6.28,4.24,7.86,7.47,5.49,4.28,4.69,4.87,4.36,3.76,Upgrade
Debt / FCF Ratio,10.69,15.83,9.72,7.89,8.38,10.51,6.57,12.85,7.48,6.30,8.34,Upgrade
Asset Turnover,0.20,0.20,0.21,0.17,0.17,0.17,0.18,0.20,0.22,0.26,0.25,Upgrade
Return on Equity (ROE),2.60%,3.00%,7.70%,2.10%,3.50%,10.00%,13.80%,11.10%,12.00%,11.80%,11.30%,Upgrade
Return on Assets (ROA),1.30%,1.50%,3.50%,0.80%,1.20%,2.80%,3.90%,3.60%,4.10%,4.90%,5.00%,Upgrade
Return on Capital (ROIC),4.90%,5.10%,8.30%,3.30%,3.20%,4.40%,5.80%,6.30%,6.80%,8.60%,11.20%,Upgrade
Earnings Yield,5.49%,5.46%,10.89%,3.60%,5.40%,12.82%,7.58%,6.89%,6.82%,5.80%,5.83%,Upgrade
FCF Yield,10.76%,6.24%,9.13%,13.93%,12.16%,10.55%,7.03%,4.08%,7.07%,6.27%,4.29%,Upgrade
Dividend Yield,5.10%,5.11%,2.89%,4.45%,6.84%,7.09%,3.17%,4.58%,3.97%,2.47%,2.33%,Upgrade
Payout Ratio,67.00%,61.30%,22.10%,68.00%,95.30%,55.60%,41.80%,67.50%,58.80%,43.00%,40.40%,Upgrade
Buyback Yield / Dilution,1.30%,1.39%,-0.41%,-1.15%,-10.76%,-,-0.36%,3.62%,1.62%,2.81%,0.17%,Upgrade
Total Shareholder Return,6.39%,6.51%,2.48%,3.29%,-3.91%,7.09%,2.81%,8.20%,5.59%,5.28%,2.50%,Upgrade
