Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"1,580",400,"3,372",550,7,9,36,26,24,114,34
Market Cap Growth,-,-88.15%,513.61%,7839.97%,-25.11%,-74.23%,38.37%,8.97%,-79.20%,239.90%,-
Enterprise Value,"2,183",946,"3,479",406,7,8,23,39,44,131,30
PE Ratio,-2.14,-0.58,-90.91,-52.60,-1.97,-0.72,-1.14,-0.90,-1.40,-36.26,-9.75
PS Ratio,15.14,3.39,21.19,126.14,5.84,5.92,69.02,0.71,1.25,5.34,9.84
PB Ratio,3.25,1.03,4.94,1.76,1.90,3.17,4.86,-2.84,1.88,4.72,2.76
P/FCF Ratio,-27.67,-10.19,-11.52,-21.54,-2.08,-0.67,-3.32,4.00,-7.88,-33.49,-7.18
P/OCF Ratio,-8.14,-2.26,-177.82,-70.71,-2.09,-1.12,-3.32,2.55,-8.03,25.67,-22.14
EV/Sales Ratio,18.63,8.04,21.86,93.23,6.27,4.92,43.65,1.06,2.31,6.13,8.78
EV/EBITDA Ratio,-3.09,-1.54,1780.29,-55.18,-3.02,-0.72,-0.75,-2.77,-2.10,-21.01,-12.47
EV/EBIT Ratio,-2.74,-1.36,-268.62,-38.96,-2.15,-0.61,-0.75,-2.77,-2.10,-20.99,-8.70
EV/FCF Ratio,-35.42,-24.13,-11.88,-15.92,-2.24,-0.56,-2.10,5.98,-14.52,-38.43,-6.41
Debt / Equity Ratio,1.35,2.03,1.07,0.00,0.33,0.34,0.24,-1.95,1.78,0.91,-
Debt / EBITDA Ratio,-1.21,-1.27,372.78,-0.03,-0.49,-0.09,-0.06,-1.27,-1.08,-3.52,-
Debt / FCF Ratio,-13.94,-19.98,-2.49,-0.01,-0.36,-0.07,-0.16,2.75,-7.49,-6.43,-
Current Ratio,16.22,10.63,60.82,198.38,0.81,1.33,1.96,0.27,0.28,0.35,6.15
Asset Turnover,0.09,0.08,0.19,0.05,0.21,0.17,0.04,0.98,0.31,0.54,0.34
Return on Equity (ROE),-122.90%,-112.40%,-5.70%,-11.60%,-127.70%,-201.60%,529.40%,-371.60%,-100.40%,-14.40%,-35.80%
Return on Assets (ROA),-49.70%,-48.00%,-4.40%,-11.40%,-60.90%,-137.50%,-224.80%,-76.70%,-27.80%,-8.00%,-34.20%
Return on Capital (ROIC),-34.60%,-34.20%,-1.50%,-20.80%,-186.20%,-460.30%,-2443.60%,-126.00%,-101.40%,-233.80%,-1402.40%
Earnings Yield,-38.39%,-171.86%,-1.10%,-1.90%,-50.81%,-138.63%,-87.36%,-110.59%,-71.21%,-2.76%,-10.26%
FCF Yield,-2.97%,-9.81%,-8.68%,-4.64%,-48.02%,-148.65%,-30.16%,25.01%,-12.69%,-2.99%,-13.93%
Buyback Yield / Dilution,-54.40%,-14.22%,-22.02%,-1121.57%,-25.36%,-226.00%,-71.90%,-6.82%,-21.85%,-26.63%,-65.17%
Total Shareholder Return,-54.40%,-14.22%,-22.02%,-1121.57%,-25.36%,-226.00%,-71.90%,-6.82%,-21.85%,-26.63%,-65.17%
