Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"1,617","2,369","2,217","1,753","1,934","1,772",-,-
Market Cap Growth,-,6.86%,26.48%,-9.36%,9.14%,-,-,-
Enterprise Value,"3,052","3,362","2,560","2,162","3,301","2,951",659,665
PE Ratio,19.35,27.49,24.09,30.43,35.35,77.94,-,-
PS Ratio,5.54,8.12,7.86,7.48,9.68,9.90,-,-
PB Ratio,1.56,2.25,2.06,1.73,1.97,1.82,-,-
P/FCF Ratio,16.27,17.33,23.31,39.46,779.82,40.89,-,-
P/OCF Ratio,15.30,16.66,22.46,35.74,88.62,31.31,-,-
EV/Sales Ratio,10.45,11.53,9.08,9.22,16.52,16.48,4.38,4.64
EV/EBITDA Ratio,23.84,25.82,18.57,24.96,43.39,78.88,13.04,12.55
EV/EBIT Ratio,26.73,28.77,20.29,28.35,46.44,87.67,14.00,13.37
EV/FCF Ratio,30.70,24.59,26.92,48.67,1331.02,68.10,22.32,12.03
Debt / Equity Ratio,1.69,1.11,0.38,0.82,1.47,1.26,1.60,1.62
Debt / EBITDA Ratio,13.70,9.00,3.00,9.60,18.96,32.64,15.04,13.41
Debt / FCF Ratio,17.65,8.58,4.35,18.73,581.66,28.18,25.74,12.85
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),8.10%,8.20%,8.90%,5.70%,5.50%,2.70%,6.80%,-
Return on Assets (ROA),0.80%,0.90%,1.00%,0.70%,0.80%,0.30%,0.60%,-
Return on Capital (ROIC),1.00%,1.10%,1.30%,0.80%,0.80%,0.50%,0.80%,-
Earnings Yield,5.22%,3.64%,4.15%,3.29%,2.83%,1.28%,-,-
FCF Yield,6.15%,5.77%,4.29%,2.53%,0.13%,2.45%,-,-
Buyback Yield / Dilution,-1.36%,-1.96%,5.10%,1.21%,0.26%,-10.54%,-,-
Total Shareholder Return,-1.36%,-1.96%,5.10%,1.21%,0.26%,-10.54%,-,-
