Year,Current,2022,2021,2020
Market Capitalization,91,347,335,-
Market Cap Growth,-,3.50%,-,-
Enterprise Value,91,347,334,0
PE Ratio,57.50,54.39,40.85,-
PB Ratio,-36.74,-36.74,-19.79,-
P/FCF Ratio,-353.29,-353.29,-224.11,-
P/OCF Ratio,-353.29,-353.29,-224.11,-
EV/EBITDA Ratio,12.59,47.78,40.79,-10.75
EV/EBIT Ratio,12.59,47.78,40.79,-10.75
EV/FCF Ratio,-353.37,-353.37,-223.78,-
Debt / Equity Ratio,-0.02,-0.02,-,1.80
Debt / EBITDA Ratio,0.02,0.02,-,-10.75
Debt / FCF Ratio,-0.15,-0.15,-,-
Current Ratio,0.03,0.03,1.00,0
Return on Equity (ROE),-53.70%,-53.70%,-43.30%,-
Return on Assets (ROA),2.30%,2.30%,3.00%,-
Return on Capital (ROIC),2.60%,2.60%,3.00%,-
Earnings Yield,6.98%,1.84%,2.45%,-
FCF Yield,-1.07%,-0.28%,-0.45%,-
Buyback Yield / Dilution,-10.20%,-10.20%,-421.77%,-
Total Shareholder Return,-10.20%,-10.20%,-421.77%,-
