Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"6,191","6,204","7,331","5,198","4,147","2,983","4,078","3,309","2,944","3,368","3,046",Upgrade
Market Cap Growth,-,-15.38%,41.06%,25.34%,39.03%,-26.86%,23.22%,12.40%,-12.57%,10.55%,77.38%,Upgrade
Enterprise Value,"5,581","5,816","7,497","4,547","5,254","4,193","6,387","5,031","3,766","3,962","3,534",Upgrade
PE Ratio,11.05,9.93,9.29,10.91,9.62,7.76,23.50,42.64,31.89,19.13,18.80,Upgrade
PS Ratio,1.39,1.41,1.55,1.39,1.24,0.99,1.39,1.29,1.26,1.53,1.54,Upgrade
PB Ratio,1.15,1.16,1.46,1.23,1.15,0.94,1.43,1.21,1.18,1.45,1.48,Upgrade
P/FCF Ratio,4.53,5.77,8.81,3.27,8.84,6.73,6.26,-7.05,-8.88,15.06,4.26,Upgrade
P/OCF Ratio,4.26,5.36,8.41,3.13,6.62,5.63,6.00,-7.50,-11.25,13.46,4.34,Upgrade
EV/Sales Ratio,1.27,1.32,1.58,1.21,1.57,1.39,2.18,1.95,1.62,1.79,1.79,Upgrade
EV/EBITDA Ratio,5.93,6.09,6.63,6.39,8.06,7.29,20.33,25.14,19.96,12.03,16.03,Upgrade
EV/EBIT Ratio,6.43,6.57,7.03,6.98,8.79,7.85,23.70,35.29,26.60,13.77,20.27,Upgrade
EV/FCF Ratio,4.14,5.41,9.01,2.86,11.20,9.46,9.80,-10.71,-11.36,17.72,4.94,Upgrade
Debt / Equity Ratio,0.42,0.35,0.46,0.42,0.66,1.04,1.08,0.99,0.75,0.57,0.59,Upgrade
Debt / EBITDA Ratio,2.40,1.93,2.05,2.53,3.65,5.71,9.85,13.53,9.86,4.05,5.48,Upgrade
Debt / FCF Ratio,1.67,1.71,2.78,1.13,5.08,7.40,4.75,-5.77,-5.61,5.96,1.69,Upgrade
Asset Turnover,0.12,0.12,0.15,0.14,0.14,0.13,0.14,0.16,0.22,0.23,0.23,Upgrade
Return on Equity (ROE),11.60%,12.10%,16.90%,12.20%,12.40%,12.60%,6.10%,3.00%,3.70%,8.00%,8.30%,Upgrade
Return on Assets (ROA),1.60%,1.70%,2.60%,1.80%,1.80%,1.70%,0.90%,0.50%,0.90%,1.90%,1.90%,Upgrade
Return on Capital (ROIC),2.40%,2.50%,3.60%,2.60%,2.40%,2.20%,1.30%,0.80%,1.30%,3.00%,2.00%,Upgrade
Earnings Yield,9.97%,10.07%,10.77%,9.16%,10.40%,12.89%,4.25%,2.35%,3.14%,5.23%,5.32%,Upgrade
FCF Yield,22.09%,17.33%,11.35%,30.56%,11.31%,14.85%,15.98%,-14.19%,-11.26%,6.64%,23.50%,Upgrade
Dividend Yield,2.16%,2.27%,0.97%,1.00%,1.14%,1.31%,0.40%,-,-,-,-,Upgrade
Payout Ratio,22.50%,20.90%,8.20%,10.10%,10.00%,9.00%,7.90%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,2.33%,0.84%,-3.45%,2.80%,3.36%,-0.35%,-4.48%,1.26%,-2.85%,-3.91%,-16.79%,Upgrade
Total Shareholder Return,4.52%,3.11%,-2.48%,3.80%,4.50%,0.96%,-4.08%,1.26%,-2.85%,-3.91%,-16.79%,Upgrade
