Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,308,259,254,212,269,207,210,151,120,147,180,Upgrade
Market Cap Growth,-,2.16%,19.67%,-21.20%,30.22%,-1.40%,39.21%,25.10%,-18.15%,-18.28%,-8.37%,Upgrade
Enterprise Value,894,815,728,587,619,481,359,344,305,293,285,Upgrade
PE Ratio,20.85,17.89,7.56,10.50,10.18,7.89,9.27,6.49,15.68,14.44,10.25,Upgrade
PS Ratio,3.68,3.45,3.98,3.74,4.57,3.88,5.29,3.81,3.42,4.55,6.12,Upgrade
PB Ratio,1.10,0.94,0.89,0.78,0.99,0.92,0.95,0.88,0.73,0.85,1.02,Upgrade
P/FCF Ratio,-10.93,-4.60,-3.33,-60.79,-2.88,-2.02,11.12,17.03,-4.92,-5.41,-2.63,Upgrade
P/OCF Ratio,-10.93,-4.60,-3.33,-60.79,-2.88,-2.02,11.12,17.03,-4.92,-5.41,-2.63,Upgrade
EV/Sales Ratio,10.68,10.85,11.43,10.36,10.51,9.04,9.05,8.72,8.68,9.05,9.70,Upgrade
EV/EBITDA Ratio,20.79,20.21,13.76,15.80,14.60,12.30,11.78,11.18,21.88,18.54,13.80,Upgrade
EV/EBIT Ratio,20.79,20.21,13.76,15.80,14.60,12.30,11.78,11.18,21.88,18.54,13.80,Upgrade
EV/FCF Ratio,-33.99,-14.48,-9.56,-168.23,-6.63,-4.70,19.04,38.97,-12.48,-10.77,-4.17,Upgrade
Debt / Equity Ratio,2.15,2.19,1.82,1.44,1.35,1.30,0.79,1.19,1.19,0.85,0.68,Upgrade
Debt / EBITDA Ratio,14.04,14.98,9.80,10.59,8.64,7.47,5.73,6.59,14.03,9.36,5.76,Upgrade
Debt / FCF Ratio,-23.77,-10.73,-6.81,-112.74,-3.92,-2.85,9.25,22.98,-8.00,-5.44,-1.74,Upgrade
Asset Turnover,0.09,0.09,0.08,0.09,0.10,0.10,0.11,0.11,0.10,0.11,0.11,Upgrade
Return on Equity (ROE),5.00%,5.20%,12.10%,8.00%,9.80%,11.60%,10.90%,13.90%,4.50%,5.80%,10.00%,Upgrade
Return on Assets (ROA),1.60%,1.60%,4.20%,3.00%,4.50%,5.10%,6.10%,6.30%,2.20%,3.30%,6.40%,Upgrade
Return on Capital (ROIC),2.90%,2.80%,4.10%,3.60%,4.80%,5.10%,5.90%,5.50%,2.80%,3.70%,6.00%,Upgrade
Earnings Yield,4.55%,5.59%,13.23%,9.52%,9.83%,12.68%,10.79%,15.41%,6.38%,6.93%,9.76%,Upgrade
FCF Yield,-8.25%,-21.72%,-30.00%,-1.65%,-34.67%,-49.57%,9.00%,5.87%,-20.32%,-18.49%,-38.04%,Upgrade
Dividend Yield,9.73%,10.26%,8.30%,10.56%,9.23%,10.49%,9.62%,11.24%,14.07%,11.87%,9.04%,Upgrade
Payout Ratio,200.00%,183.80%,62.80%,110.60%,93.70%,82.90%,89.20%,72.90%,222.30%,171.20%,93.00%,Upgrade
Buyback Yield / Dilution,-1.34%,-0.32%,-0.09%,-6.54%,-14.56%,-7.28%,-19.16%,0.00%,-1.62%,-1.84%,0.23%,Upgrade
Total Shareholder Return,8.38%,9.94%,8.20%,4.02%,-5.32%,3.21%,-9.53%,11.24%,12.45%,10.03%,9.27%,Upgrade
