Year,Current,2022,2021,2020
Market Capitalization,99,147,-,-
Enterprise Value,240,259,-44,-25
PE Ratio,33.84,54.14,-,-
PS Ratio,4.37,6.67,-,-
PB Ratio,0.61,0.91,-,-
P/FCF Ratio,12.23,19.49,-,-
P/OCF Ratio,11.97,18.95,-,-
EV/Sales Ratio,10.55,11.72,-2.25,-1.51
EV/EBITDA Ratio,76.47,68.17,-7.62,-3.69
EV/EBIT Ratio,84.58,74.06,-8.04,-3.89
EV/FCF Ratio,29.53,34.27,-6.93,-5.12
Debt / Equity Ratio,1.28,1.07,0.12,0.25
Debt / EBITDA Ratio,66.26,45.81,1.56,2.62
Debt / FCF Ratio,25.59,23.03,1.42,3.62
Asset Turnover,0.02,0.03,0.03,-
Return on Equity (ROE),1.60%,2.30%,5.40%,-
Return on Assets (ROA),0.20%,0.30%,0.60%,-
Return on Capital (ROIC),0.30%,0.40%,0.90%,-
Earnings Yield,2.25%,1.85%,-,-
FCF Yield,8.18%,5.13%,-,-
Buyback Yield / Dilution,4.87%,5.15%,-,-
Total Shareholder Return,4.87%,5.15%,-,-
