Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,"59,839","69,124","68,961","54,528","48,504","47,701","70,816","60,325","70,299","64,248","73,829",Upgrade
Market Cap Growth,-,0.24%,26.47%,12.42%,1.68%,-32.64%,17.39%,-14.19%,9.42%,-12.98%,22.40%,Upgrade
Enterprise Value,"166,602","176,368","183,248","198,852","215,399","221,516","282,342","213,989","269,885","357,252","400,205",Upgrade
PE Ratio,9.74,8.43,8.42,7.32,10.93,10.35,71.22,16.87,11.32,19.20,20.77,Upgrade
PS Ratio,1.60,1.86,1.77,1.45,1.63,1.55,2.33,1.97,2.29,2.28,2.38,Upgrade
PB Ratio,0.97,1.13,1.03,0.81,0.86,0.88,1.32,1.07,1.27,1.26,1.37,Upgrade
P/FCF Ratio,4.19,4.88,2.10,1.35,2.59,1.71,-1.29,-2.84,38.80,11.31,1.22,Upgrade
P/OCF Ratio,3.77,4.39,2.00,1.30,2.39,1.62,-1.33,-3.09,22.59,8.85,1.21,Upgrade
EV/Sales Ratio,4.48,4.75,4.71,5.29,7.23,7.19,9.29,6.97,8.81,12.66,12.87,Upgrade
EV/EBITDA Ratio,13.32,14.10,14.41,17.05,27.82,29.83,43.03,38.41,42.58,111.35,85.71,Upgrade
EV/EBIT Ratio,16.19,17.14,17.64,21.50,37.50,36.28,52.20,48.56,50.82,155.18,109.30,Upgrade
EV/FCF Ratio,11.77,12.46,5.58,4.93,11.52,7.94,-5.13,-10.06,148.96,62.90,6.64,Upgrade
Debt / Equity Ratio,4.73,4.73,4.89,4.80,4.93,5.27,5.64,4.72,5.93,8.54,8.61,Upgrade
Debt / EBITDA Ratio,23.14,23.14,25.65,27.78,35.81,38.30,46.31,47.88,51.84,135.73,99.25,Upgrade
Debt / FCF Ratio,20.45,20.45,9.93,8.04,14.83,10.19,-5.52,-12.54,181.34,76.67,7.69,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,Upgrade
Return on Equity (ROE),13.00%,13.00%,12.40%,11.50%,8.00%,8.60%,1.80%,6.20%,11.70%,6.70%,6.80%,Upgrade
Return on Assets (ROA),0.70%,0.70%,0.70%,0.60%,0.40%,0.50%,0.10%,0.40%,0.60%,0.30%,0.30%,Upgrade
Return on Capital (ROIC),0.80%,0.80%,0.80%,0.70%,0.50%,0.50%,0.50%,0.40%,0.40%,0.20%,0.20%,Upgrade
Earnings Yield,13.82%,11.87%,11.88%,13.66%,9.15%,9.66%,1.40%,5.93%,8.83%,5.21%,4.82%,Upgrade
FCF Yield,23.85%,20.48%,47.61%,73.92%,38.54%,58.48%,-77.74%,-35.26%,2.58%,8.84%,81.66%,Upgrade
Dividend Yield,2.88%,1.34%,1.04%,4.71%,5.46%,5.57%,3.27%,5.58%,3.95%,-,-,Upgrade
Payout Ratio,9.90%,9.90%,7.90%,32.00%,57.00%,55.90%,225.30%,91.00%,45.50%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,3.91%,4.06%,-,-0.09%,-0.07%,-0.06%,-0.03%,-6.07%,3.69%,1.75%,-0.08%,Upgrade
Total Shareholder Return,6.81%,5.40%,1.04%,4.62%,5.40%,5.51%,3.24%,-0.49%,7.64%,1.75%,-0.08%,Upgrade
