Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"2,003","3,854","2,695","2,408","2,862","1,937","1,917","1,855","1,221","1,026",899,Upgrade
Market Cap Growth,-,43.01%,11.91%,-15.86%,47.72%,1.06%,3.34%,51.97%,19.00%,14.13%,43.18%,Upgrade
Enterprise Value,"2,493","3,614",606,"1,292","3,014","1,945","2,027","1,901","1,289","1,254","1,131",Upgrade
PE Ratio,7.64,14.61,22.27,19.87,17.33,15.93,21.98,24.20,18.79,17.14,17.88,Upgrade
PS Ratio,2.72,5.34,5.51,5.64,5.70,5.07,5.66,6.10,4.22,4.01,3.74,Upgrade
PB Ratio,0.71,1.34,0.89,1.41,1.68,1.81,2.03,2.15,1.58,1.60,1.52,Upgrade
P/FCF Ratio,5.24,9.57,16.31,41.41,14.05,14.57,17.09,22.39,15.20,12.23,6.80,Upgrade
P/OCF Ratio,5.04,9.15,14.17,37.25,13.22,13.66,14.64,19.97,13.63,11.36,6.36,Upgrade
EV/Sales Ratio,3.39,5.01,1.24,3.03,6.00,5.09,5.98,6.25,4.45,4.91,4.70,Upgrade
EV/EBITDA Ratio,6.28,9.35,3.20,7.17,12.69,11.34,13.49,15.04,12.33,13.08,15.03,Upgrade
EV/EBIT Ratio,6.95,10.39,3.87,8.45,13.82,12.48,15.07,16.96,13.98,14.97,16.94,Upgrade
EV/FCF Ratio,6.52,8.98,3.67,22.22,14.79,14.64,18.08,22.95,16.05,14.96,8.56,Upgrade
Debt / Equity Ratio,0.35,0.04,0.05,0.11,0.18,0.24,0.34,0.39,0.45,0.63,0.76,Upgrade
Debt / EBITDA Ratio,2.50,0.29,0.80,1.01,1.28,1.51,2.15,2.65,3.29,4.24,5.96,Upgrade
Debt / FCF Ratio,2.59,0.28,0.92,3.11,1.49,1.95,2.89,4.05,4.28,4.85,3.40,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.05,0.05,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),9.50%,9.10%,5.90%,7.20%,10.80%,12.10%,9.50%,9.40%,8.60%,9.60%,9.00%,Upgrade
Return on Assets (ROA),1.40%,1.30%,0.80%,0.90%,1.50%,1.40%,1.10%,1.00%,0.90%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),2.00%,2.00%,1.20%,1.30%,2.10%,1.90%,1.70%,1.50%,1.30%,1.30%,1.10%,Upgrade
Earnings Yield,13.58%,6.85%,4.49%,5.03%,5.77%,6.28%,4.55%,4.13%,5.32%,5.83%,5.59%,Upgrade
FCF Yield,19.10%,10.44%,6.13%,2.41%,7.12%,6.86%,5.85%,4.47%,6.58%,8.17%,14.70%,Upgrade
Dividend Yield,4.67%,2.50%,2.49%,2.54%,2.02%,2.17%,1.83%,1.65%,2.21%,2.25%,2.26%,Upgrade
Payout Ratio,35.80%,36.60%,55.30%,50.50%,35.00%,34.50%,40.10%,40.00%,41.40%,38.40%,40.40%,Upgrade
Buyback Yield / Dilution,4.99%,-32.97%,-4.82%,-1.31%,-18.81%,-1.03%,-3.46%,-1.91%,-8.20%,-3.92%,-5.85%,Upgrade
Total Shareholder Return,9.66%,-30.46%,-2.33%,1.24%,-16.79%,1.14%,-1.64%,-0.26%,-5.98%,-1.67%,-3.59%,Upgrade
