Year,Current,2022,2021,2020
Market Capitalization,136,445,430,-
Market Cap Growth,-,3.61%,-,-
Enterprise Value,135,445,429,0
PE Ratio,52.20,51.18,233.72,-
PB Ratio,-977.44,-977.44,-78.65,-
P/FCF Ratio,-443.69,-443.69,-549.31,-
P/OCF Ratio,-443.69,-443.69,-549.31,-
EV/EBITDA Ratio,13.99,45.96,233.33,-93.32
EV/EBIT Ratio,13.99,45.96,233.33,-93.32
EV/FCF Ratio,-443.38,-443.38,-548.39,-467.11
Debt / Equity Ratio,-0.08,-0.08,-0.01,6.80
Debt / EBITDA Ratio,0.00,0.00,0.02,-171.99
Debt / FCF Ratio,-0.04,-0.04,-0.05,-860.85
Current Ratio,0.27,0.27,2.16,0.46
Return on Equity (ROE),-657.80%,-657.80%,-323.20%,-
Return on Assets (ROA),2.50%,2.50%,0.50%,-
Return on Capital (ROIC),2.80%,2.80%,0.50%,-
Earnings Yield,6.41%,1.95%,0.43%,-
FCF Yield,-0.74%,-0.23%,-0.18%,-
Buyback Yield / Dilution,-16.19%,-16.19%,-509.87%,-
Total Shareholder Return,-16.19%,-16.19%,-509.87%,-
