Year,Current,2022,2021,2020,2019,2018
Market Capitalization,89,74,105,32,44,47
Market Cap Growth,-,-29.78%,229.84%,-27.66%,-6.49%,-
Enterprise Value,76,61,90,25,40,38
PE Ratio,0,-5.43,5.17,-8.66,-5.60,164.21
PS Ratio,0,-7.10,4.57,-19.46,-6.80,134.11
PB Ratio,0.94,0.78,0.97,0.77,0.96,0.93
P/FCF Ratio,-,-5.05,-1.60,9.20,-1.52,-1.15
P/OCF Ratio,-,-5.05,-1.60,9.20,-1.52,-1.15
EV/Sales Ratio,-,-5.90,3.92,-15.51,-6.19,108.29
EV/EBITDA Ratio,-,-6.41,3.91,-12.41,-5.83,106.73
EV/FCF Ratio,-,-4.19,-1.37,7.34,-1.38,-0.93
Debt / Equity Ratio,0.69,0.69,0.53,0,0.49,0.01
Current Ratio,0,0,2.59,0,12.29,0
Asset Turnover,-,-0.07,0.14,-0.03,-0.10,0.01
Return on Equity (ROE),-,-14.42%,18.79%,-8.87%,-17.14%,0.57%
Return on Assets (ROA),-,-8.54%,12.29%,-5.78%,-11.53%,0.56%
Return on Capital (ROIC),-,-7.12%,17.81%,-4.03%,-11.47%,0.67%
Earnings Yield,-18.43%,19.34%,-11.55%,-17.86%,0.61%,
FCF Yield,-19.80%,-62.60%,10.87%,-65.77%,-87.24%,
Dividend Yield,24.86%,4.92%,2.13%,10.97%,12.44%,0.00%
Payout Ratio,-,-26.71%,11.00%,-94.93%,-69.67%,0.00%
Buyback Yield / Dilution,-,-138.40%,-24.49%,-3.83%,-,
Total Shareholder Return,24.93%,4.92%,-136.28%,-13.52%,8.61%,-
