Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"3,519","7,355","9,882","7,125","8,850","7,830","10,153","8,768","5,577","5,786","5,531",Upgrade
Market Cap Growth,-,-25.57%,38.70%,-19.50%,13.04%,-22.88%,15.80%,57.21%,-3.60%,4.60%,40.34%,Upgrade
Enterprise Value,"12,284","14,000","-1,214","8,416","11,178","12,974","14,182","7,982",-170,-898,"-1,205",Upgrade
PE Ratio,4.06,8.38,8.98,14.11,11.32,9.21,18.46,21.33,22.58,17.72,18.82,Upgrade
PS Ratio,1.13,2.43,3.10,3.00,3.17,2.77,3.92,3.83,2.75,2.55,2.61,Upgrade
PB Ratio,0.68,1.50,1.32,0.90,1.20,1.03,1.32,1.15,0.74,0.79,0.86,Upgrade
P/FCF Ratio,2.85,5.75,23.36,13.00,15.26,7.48,13.38,21.92,18.17,28.29,7.41,Upgrade
P/OCF Ratio,2.51,5.00,15.71,9.91,12.70,6.66,10.94,14.71,12.02,15.21,6.62,Upgrade
EV/Sales Ratio,3.96,4.62,-0.38,3.54,4.00,4.60,5.47,3.49,-0.08,-0.40,-0.57,Upgrade
EV/EBITDA Ratio,9.41,11.09,-0.85,11.10,9.01,9.71,12.72,9.64,-0.32,-1.32,-2.24,Upgrade
EV/EBIT Ratio,10.42,12.15,-0.84,12.52,10.62,11.35,15.15,11.32,-0.38,-1.44,-2.96,Upgrade
EV/FCF Ratio,9.95,10.94,-2.87,15.36,19.27,12.39,18.69,19.96,-0.55,-4.39,-1.61,Upgrade
Debt / Equity Ratio,2.47,2.26,0.26,0.37,0.51,0.84,0.70,0.18,0.15,0.18,0.40,Upgrade
Debt / EBITDA Ratio,9.79,8.77,1.34,3.84,3.04,4.77,4.81,1.64,2.16,1.97,4.86,Upgrade
Debt / FCF Ratio,10.35,8.65,4.53,5.31,6.51,6.09,7.06,3.41,3.78,6.53,3.50,Upgrade
Asset Turnover,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),17.30%,16.30%,14.10%,6.60%,10.40%,11.20%,7.10%,5.40%,3.30%,4.70%,4.50%,Upgrade
Return on Assets (ROA),1.00%,1.00%,1.20%,0.70%,1.10%,1.30%,0.80%,0.70%,0.40%,0.60%,0.50%,Upgrade
Return on Capital (ROIC),1.30%,1.30%,1.80%,0.90%,1.40%,1.60%,1.40%,1.20%,0.90%,1.30%,0.90%,Upgrade
Earnings Yield,25.04%,11.94%,11.13%,7.09%,8.84%,10.86%,5.42%,4.69%,4.43%,5.64%,5.32%,Upgrade
FCF Yield,35.10%,17.40%,4.28%,7.69%,6.55%,13.37%,7.48%,4.56%,5.50%,3.54%,13.50%,Upgrade
Dividend Yield,6.78%,3.23%,2.33%,3.16%,2.70%,2.74%,0.91%,0.65%,0.80%,0.53%,0.43%,Upgrade
Payout Ratio,20.50%,27.20%,21.20%,44.40%,29.00%,23.90%,16.20%,14.00%,18.30%,9.50%,8.20%,Upgrade
Buyback Yield / Dilution,2.41%,6.22%,3.25%,11.20%,9.68%,1.50%,-2.64%,-0.28%,-5.66%,-4.61%,-0.58%,Upgrade
Total Shareholder Return,9.18%,9.45%,5.58%,14.36%,12.38%,4.25%,-1.73%,0.37%,-4.86%,-4.07%,-0.15%,Upgrade
