Year,Current,2022,2021
Market Capitalization,372,362,318
Market Cap Growth,-,13.76%,-
Enterprise Value,371,361,315
PE Ratio,172.67,177.23,-584.55
PB Ratio,-39.38,-39.38,-38.26
P/FCF Ratio,-209.89,-209.89,-
P/OCF Ratio,-209.89,-209.89,-
EV/EBITDA Ratio,130.38,126.78,-579.32
EV/EBIT Ratio,130.38,126.78,-579.32
EV/FCF Ratio,-209.15,-209.15,-
Current Ratio,0.87,0.87,1.86
Return on Equity (ROE),-23.00%,-23.00%,-
Return on Assets (ROA),0.70%,0.70%,-
Return on Capital (ROIC),1.00%,1.00%,-
Earnings Yield,0.55%,0.56%,-0.17%
FCF Yield,-0.46%,-0.48%,-
Buyback Yield / Dilution,-341.95%,-341.95%,-
Total Shareholder Return,-341.95%,-341.95%,-
