Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,231,309,290,227,407,368,673,-,-
Market Cap Growth,-,6.65%,27.86%,-44.21%,10.37%,-45.22%,-,-,-
Enterprise Value,-49,60,112,-375,642,673,"1,035",335,311
PE Ratio,-14.42,-21.80,12.40,-17.50,13.90,5.81,17.71,-,-
PS Ratio,3.00,3.43,2.76,4.11,3.07,2.65,6.05,-,-
PB Ratio,0.76,0.99,0.84,0.71,1.22,1.10,2.46,-,-
P/FCF Ratio,-101.67,161.38,9.81,29.37,6.84,6.49,16.01,-,-
P/OCF Ratio,-123.33,132.32,9.43,26.24,6.69,6.08,15.14,-,-
EV/Sales Ratio,-0.03,0.66,1.06,-6.79,4.84,4.84,9.31,3.77,4.73
EV/EBITDA Ratio,0.15,-9.94,3.22,21.70,13.80,7.44,14.36,5.79,7.90
EV/EBIT Ratio,0.13,-7.92,3.39,19.86,14.30,7.60,14.70,5.94,8.22
EV/FCF Ratio,0.74,31.25,3.79,-48.52,10.79,11.86,24.64,12.56,13.52
Debt / Equity Ratio,0.41,0.42,0.68,1.26,0.94,1.07,1.47,2.20,2.40
Debt / EBITDA Ratio,-9.20,-21.79,6.75,-23.39,6.75,3.96,5.59,6.17,8.29
Debt / FCF Ratio,-46.06,68.47,7.94,52.28,5.28,6.31,9.59,13.39,14.20
Asset Turnover,0.03,0.04,0.03,0.02,0.04,0.04,0.04,0.05,-
Return on Equity (ROE),-6.20%,-4.30%,7.00%,-4.00%,8.60%,20.40%,17.40%,22.30%,-
Return on Assets (ROA),-0.80%,-0.60%,0.70%,-0.30%,0.90%,2.00%,1.50%,1.70%,-
Return on Capital (ROIC),-0.70%,-0.30%,1.10%,-0.50%,1.30%,2.50%,2.40%,2.50%,-
Earnings Yield,-8.28%,-4.59%,8.06%,-5.72%,7.19%,17.23%,5.65%,-,-
FCF Yield,-1.17%,0.62%,10.20%,3.40%,14.62%,15.40%,6.25%,-,-
Dividend Yield,-,-,0.22%,0.50%,0.58%,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,-3.80%,7.00%,3.30%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.08%,-0.41%,-0.60%,2.52%,3.47%,-14.60%,-2.09%,1.90%,-
Total Shareholder Return,-0.08%,-0.41%,-0.60%,2.74%,3.97%,-14.02%,-2.09%,1.90%,-
