Year,Current,2022,2021,2020,2019
Market Capitalization,118,89,59,63,60
Market Cap Growth,-,51.61%,-6.59%,4.36%,-
Enterprise Value,75,42,-14,121,59
PE Ratio,-,-2.00,0.61,-3.90,305.60
PS Ratio,-,2.87,5.13,4.48,-
PB Ratio,41.43,21.49,0.96,-11.74,-44.52
P/FCF Ratio,-,-4.40,-27.26,2.87,-169.92
P/OCF Ratio,-,-4.62,-27.31,2.87,-169.92
EV/Sales Ratio,-,1.35,-1.25,8.58,-
EV/EBITDA Ratio,-,-0.95,-0.12,-8.30,300.89
EV/EBIT Ratio,-,-0.95,-0.12,-8.26,300.89
EV/FCF Ratio,-,-2.06,6.66,5.49,-167.31
Debt / Equity Ratio,2.19,1.08,-,-23.42,-
Debt / EBITDA Ratio,-,-0.10,-,-8.65,-
Debt / FCF Ratio,-,-0.22,-,5.72,-
Current Ratio,0.57,0.57,1.37,1.25,1.72
Asset Turnover,-,0.28,0.18,0.18,0
Return on Equity (ROE),-,-136.40%,560.60%,-669.90%,9.10%
Return on Assets (ROA),-,-39.80%,153.00%,-20.10%,0.60%
Return on Capital (ROIC),-,162.30%,423.70%,-17.90%,0.60%
Earnings Yield,-49.92%,163.98%,-25.63%,0.33%,
FCF Yield,-22.73%,-3.67%,34.87%,-0.59%,
Buyback Yield / Dilution,-9.32%,-1.05%,-828.87%,-50.68%,-
Total Shareholder Return,-9.32%,-1.05%,-828.87%,-50.68%,-
