Year,Current,2022,2021,2020
Market Capitalization,148,473,457,-
Market Cap Growth,-,3.49%,-,-
Enterprise Value,148,473,457,0
PE Ratio,37.86,35.95,278.84,-
PB Ratio,-33.91,-33.91,-20.92,-
P/FCF Ratio,-2948.68,-2948.68,-283.07,-
P/OCF Ratio,-2948.68,-2948.68,-283.07,-
EV/EBITDA Ratio,11.24,35.95,278.74,-4.79
EV/EBIT Ratio,11.24,35.95,278.74,-4.79
EV/FCF Ratio,-2948.68,-2948.68,-282.97,-
Debt / Equity Ratio,-,-,-,-18.26
Debt / EBITDA Ratio,-,-,-,-4.79
Current Ratio,0.03,0.03,9.25,0.04
Return on Equity (ROE),-87.20%,-87.20%,-19.00%,-
Return on Assets (ROA),3.50%,3.50%,0.40%,-
Return on Capital (ROIC),3.50%,3.50%,0.40%,-
Earnings Yield,8.90%,2.78%,0.36%,-
FCF Yield,-0.11%,-0.03%,-0.35%,-
Buyback Yield / Dilution,-2.47%,-2.47%,-422.80%,-
Total Shareholder Return,-2.47%,-2.47%,-422.80%,-
