Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Market Capitalization,"6,865","5,975","7,360","7,426","8,220","6,242","8,892","7,633","7,948","10,438","9,167",Upgrade
Market Cap Growth,-,-18.82%,-0.89%,-9.66%,31.68%,-29.80%,16.49%,-3.96%,-23.86%,13.86%,-,Upgrade
Enterprise Value,"9,516","8,437","9,263","9,531","10,488","8,351","11,964","10,921","15,383","17,551","14,292",Upgrade
PE Ratio,14.61,12.61,3.52,-30.68,-21.19,8.19,-2.97,-23.34,19.48,4.55,15.32,Upgrade
PS Ratio,1.10,1.01,1.74,0.97,1.10,0.87,1.23,0.87,0.91,0.95,1.05,Upgrade
PB Ratio,1.73,1.78,0.89,0.74,0.88,0.76,0.89,0.59,0.59,0.65,0.69,Upgrade
P/FCF Ratio,6.29,4.42,334.55,5.45,6.27,3.34,5.62,2.07,2.45,2.90,2.84,Upgrade
P/OCF Ratio,6.29,4.42,334.55,5.45,6.27,3.34,5.62,2.07,2.45,2.88,2.81,Upgrade
EV/Sales Ratio,1.52,1.42,2.19,1.25,1.40,1.17,1.66,1.24,1.76,1.60,1.63,Upgrade
EV/EBITDA Ratio,12.91,12.26,4.11,-250.81,-28.73,7.84,-5.86,321.21,16.01,16.66,14.06,Upgrade
EV/EBIT Ratio,12.91,12.26,4.11,-250.81,-28.73,7.84,-5.86,321.21,16.01,18.23,15.34,Upgrade
EV/FCF Ratio,8.74,6.24,421.05,7.00,8.01,4.47,7.56,2.96,4.74,4.88,4.43,Upgrade
Debt / Equity Ratio,0.88,1.04,0.42,0.38,0.38,0.45,0.45,0.42,0.78,0.64,0.65,Upgrade
Debt / EBITDA Ratio,4.74,5.04,1.54,-100.74,-9.64,3.45,-2.21,162.26,10.84,9.83,8.53,Upgrade
Debt / FCF Ratio,3.21,2.57,158.00,2.81,2.68,1.97,2.85,1.49,3.21,2.88,2.69,Upgrade
Asset Turnover,0.04,0.04,0.03,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.04,Upgrade
Return on Equity (ROE),13.00%,10.40%,25.40%,-2.60%,-4.00%,8.80%,-24.00%,-2.30%,2.80%,15.40%,4.60%,Upgrade
Return on Assets (ROA),0.40%,0.30%,1.20%,-0.10%,-0.20%,0.40%,-1.40%,-0.20%,0.20%,1.00%,0.30%,Upgrade
Return on Capital (ROIC),0.50%,0.50%,1.30%,0.00%,-0.20%,0.60%,-0.90%,0.00%,0.40%,0.40%,0.40%,Upgrade
Earnings Yield,7.54%,7.93%,28.40%,-3.26%,-4.72%,12.21%,-33.65%,-4.28%,5.13%,21.99%,6.53%,Upgrade
FCF Yield,15.90%,22.63%,0.30%,18.34%,15.94%,29.92%,17.79%,48.37%,40.87%,34.45%,35.15%,Upgrade
Dividend Yield,1.20%,1.30%,1.05%,1.02%,1.00%,0.10%,0.08%,0.10%,0.11%,0.09%,0.06%,Upgrade
Payout Ratio,15.30%,17.00%,3.90%,-31.60%,-22.20%,0.90%,-0.20%,-2.50%,2.20%,0.40%,0.80%,Upgrade
Buyback Yield / Dilution,8.33%,12.45%,12.10%,6.33%,13.32%,13.48%,7.64%,9.62%,12.57%,5.56%,-1.61%,Upgrade
Total Shareholder Return,9.54%,13.75%,13.14%,7.35%,14.32%,13.58%,7.72%,9.72%,12.68%,5.66%,-1.56%,Upgrade
