Year,Current,2022,2021
Market Capitalization,26,60,58
Market Cap Growth,-,3.83%,-
Enterprise Value,26,61,57
PE Ratio,-60.43,-60.43,-234.02
PB Ratio,-26.68,-26.68,-57.61
P/FCF Ratio,-57.66,-57.66,-183.36
P/OCF Ratio,-57.66,-57.66,-183.36
EV/EBITDA Ratio,-66.25,-66.25,-232.09
EV/EBIT Ratio,-66.25,-66.25,-232.09
EV/FCF Ratio,-58.10,-58.10,-181.84
Debt / Equity Ratio,-0.22,-0.22,-
Debt / EBITDA Ratio,-0.54,-0.54,-
Debt / FCF Ratio,-0.48,-0.48,-
Current Ratio,0.05,0.05,8.42
Return on Equity (ROE),57.80%,57.80%,-
Return on Assets (ROA),-2.70%,-2.70%,-
Return on Capital (ROIC),-2.50%,-2.50%,-
Earnings Yield,-3.90%,-1.65%,-0.43%
FCF Yield,-4.09%,-1.73%,-0.55%
Buyback Yield / Dilution,-79.36%,-79.36%,-
Total Shareholder Return,-79.36%,-79.36%,-
