Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Market Capitalization,890,832,"1,982","2,984","1,200","4,191","3,062","1,182",883,"1,063","1,112",Upgrade
Market Cap Growth,-,-58.03%,-33.59%,148.71%,-71.37%,36.85%,159.08%,33.82%,-16.90%,-4.41%,113.30%,Upgrade
Enterprise Value,154,56,672,"1,512",192,"3,136","2,121",492,179,431,619,Upgrade
PE Ratio,14.59,12.95,41.74,129.01,12.01,35.31,35.66,28.97,23.67,28.08,38.77,Upgrade
PS Ratio,0.61,0.57,1.38,2.38,1.08,3.93,3.40,1.65,1.27,1.77,1.94,Upgrade
PB Ratio,1.03,1.06,1.85,2.96,1.29,4.61,4.01,1.73,1.33,1.69,2.76,Upgrade
P/FCF Ratio,5.00,4.30,18.08,19.88,10.74,22.05,17.58,16.59,8.10,35.58,12.82,Upgrade
P/OCF Ratio,3.38,2.99,11.86,14.27,6.32,16.69,14.03,10.32,5.63,15.36,9.08,Upgrade
EV/Sales Ratio,0.11,0.04,0.47,1.21,0.17,2.94,2.35,0.69,0.26,0.72,1.08,Upgrade
EV/EBITDA Ratio,0.96,0.34,4.52,13.15,0.94,15.66,12.20,3.70,1.42,4.02,7.77,Upgrade
EV/EBIT Ratio,1.90,0.66,10.52,52.41,1.56,24.34,19.41,6.97,2.79,6.15,11.78,Upgrade
EV/FCF Ratio,0.87,0.29,6.13,10.07,1.72,16.50,12.18,6.91,1.64,14.44,7.14,Upgrade
Debt / Equity Ratio,0.01,0.06,0.01,0.02,0.07,0.07,0.11,0.15,0.19,0.23,0.12,Upgrade
Debt / EBITDA Ratio,0.05,0.27,0.11,0.22,0.33,0.30,0.47,0.77,0.98,1.34,0.63,Upgrade
Debt / FCF Ratio,0.05,0.23,0.14,0.17,0.61,0.32,0.46,1.43,1.12,4.81,0.58,Upgrade
Current Ratio,0.35,0.37,0.50,0.78,1.00,1.03,0.99,1.06,1.10,1.22,1.52,Upgrade
Asset Turnover,0.31,0.30,0.31,0.35,0.44,0.45,0.47,0.44,0.42,0.48,0.70,Upgrade
Return on Equity (ROE),7.40%,7.40%,4.50%,2.30%,10.60%,13.50%,11.80%,6.00%,5.50%,7.60%,7.60%,Upgrade
Return on Assets (ROA),1.30%,1.30%,1.00%,0.70%,3.90%,5.00%,4.50%,2.50%,2.30%,3.00%,3.50%,Upgrade
Return on Capital (ROIC),-22.30%,-17.30%,-4.90%,-2.50%,-18.40%,-18.50%,-23.20%,-30.10%,-23.00%,-28.70%,113.10%,Upgrade
Earnings Yield,6.94%,7.72%,2.40%,0.78%,8.33%,2.83%,2.80%,3.45%,4.22%,3.56%,2.58%,Upgrade
FCF Yield,20.01%,23.25%,5.53%,5.03%,9.31%,4.53%,5.69%,6.03%,12.35%,2.81%,7.80%,Upgrade
Buyback Yield / Dilution,5.81%,2.44%,-2.86%,-1.03%,2.47%,-2.41%,-4.73%,2.08%,-24.19%,-12.42%,-3.40%,Upgrade
Total Shareholder Return,5.81%,2.44%,-2.86%,-1.03%,2.47%,-2.41%,-4.73%,2.08%,-24.19%,-12.42%,-3.40%,Upgrade
