Year,Current,2022
Market Capitalization,91,150
Enterprise Value,91,150
PE Ratio,121.64,121.64
PB Ratio,-37.09,-37.09
P/FCF Ratio,-304.27,-304.27
P/OCF Ratio,-304.27,-304.27
EV/EBITDA Ratio,58.46,96.23
EV/EBIT Ratio,58.46,96.23
EV/FCF Ratio,-303.58,-303.58
Current Ratio,0.87,0.87
Return on Equity (ROE),-40.10%,-40.10%
Return on Assets (ROA),1.40%,1.40%
Return on Capital (ROIC),1.80%,1.80%
Earnings Yield,1.35%,0.82%
FCF Yield,-0.54%,-0.33%
Buyback Yield / Dilution,9.36%,-
Total Shareholder Return,9.36%,-
