Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"1,991","3,048","3,767","3,046",-,-
Market Cap Growth,-,-19.09%,23.67%,-,-,-
Enterprise Value,991,"3,619","2,569","1,020",-127,"2,655"
PE Ratio,-48.49,15.26,24.36,133.96,-,-
PS Ratio,4.84,4.20,5.95,5.63,-,-
PB Ratio,0.77,1.23,1.11,0.89,-,-
P/FCF Ratio,7.53,12.77,19.75,47.07,-,-
P/OCF Ratio,7.60,13.25,21.59,43.61,-,-
EV/Sales Ratio,2.41,4.98,4.06,1.89,-0.22,4.78
EV/EBITDA Ratio,-32.16,12.71,11.90,15.99,-0.66,14.94
EV/EBIT Ratio,-18.60,14.10,13.62,28.41,-0.73,16.85
EV/FCF Ratio,3.75,15.17,13.47,15.76,-0.67,13.55
Debt / Equity Ratio,0.44,0.30,0.01,0.01,0.15,2.03
Debt / EBITDA Ratio,-29.92,2.60,0.16,0.44,1.21,16.41
Debt / FCF Ratio,4.30,3.10,0.18,0.43,1.25,14.87
Asset Turnover,0.02,0.03,0.03,0.04,0.05,-
Return on Equity (ROE),-1.80%,7.50%,4.50%,1.10%,8.90%,-
Return on Assets (ROA),-0.20%,0.90%,0.80%,0.20%,1.20%,-
Return on Capital (ROIC),-0.30%,1.20%,1.10%,0.30%,1.40%,-
Earnings Yield,-2.30%,6.55%,4.11%,0.75%,-,-
FCF Yield,13.28%,7.83%,5.06%,2.12%,-,-
Dividend Yield,3.54%,2.32%,1.49%,-,-,-
Payout Ratio,-103.40%,33.10%,33.30%,0.00%,-,-
Buyback Yield / Dilution,4.48%,5.40%,-,-,-,-
Total Shareholder Return,8.02%,7.72%,1.49%,-,-,-
