Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,54,144,648,586,505,436,627,-,-
Market Cap Growth,-,-77.81%,10.54%,15.95%,15.77%,-30.43%,-,-,-
Enterprise Value,"2,563","2,648","2,554","1,260","1,311","1,156","1,162",265,324
PE Ratio,-0.29,-0.77,10.92,7.74,4.53,-19.79,12.77,-,-
PS Ratio,0.10,0.23,1.13,1.05,0.75,0.70,1.03,-,-
PB Ratio,-0.31,-2.65,4.04,4.44,10.00,-22.85,87.92,-,-
P/FCF Ratio,0.38,0.60,2.16,1.49,0.79,0.84,1.47,-,-
P/OCF Ratio,0.30,0.50,2.00,1.45,0.78,0.82,1.44,-,-
EV/Sales Ratio,4.42,4.23,4.46,2.26,1.95,1.85,1.90,0.46,0.61
EV/EBITDA Ratio,399.22,95.19,12.47,7.33,5.50,14.04,6.06,1.38,2.70
EV/EBIT Ratio,-88.47,-311.52,14.36,8.16,5.96,18.07,6.69,1.54,3.21
EV/FCF Ratio,16.83,11.09,8.53,3.20,2.06,2.22,2.73,0.85,-119.24
Debt / Equity Ratio,-11.72,-49.33,12.90,7.14,18.12,-42.21,99.30,15.35,-29.51
Debt / EBITDA Ratio,417.87,95.98,10.10,5.48,3.84,9.79,3.70,3.28,4.77
Debt / FCF Ratio,17.62,11.18,6.91,2.39,1.44,1.55,1.66,2.00,-210.41
Current Ratio,-,-,-,-,-,-,-,1.83,3.27
Asset Turnover,0.21,0.23,0.33,0.50,0.63,0.71,0.75,0.79,-
Return on Equity (ROE),2295.50%,-219.10%,30.20%,76.30%,248.20%,-102.40%,204.80%,609.50%,-
Return on Assets (ROA),-9.10%,-6.90%,3.40%,6.70%,10.40%,-2.50%,6.00%,9.00%,-
Return on Capital (ROIC),-0.60%,-0.20%,7.00%,9.60%,12.80%,4.90%,17.20%,20.60%,-
Earnings Yield,-421.07%,-129.06%,9.16%,12.93%,22.06%,-5.05%,7.83%,-,-
FCF Yield,260.30%,166.14%,46.25%,67.30%,125.99%,119.24%,67.93%,-,-
Dividend Yield,8.27%,9.28%,2.56%,1.58%,-,-,-,-,-
Payout Ratio,-3.60%,-7.20%,26.70%,11.90%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,1.27%,6.29%,-2.50%,8.45%,4.15%,-22.12%,-1.22%,0.24%,-
Total Shareholder Return,9.73%,15.58%,0.07%,10.03%,4.15%,-22.12%,-1.22%,0.24%,-
