Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,287,383,545,474,517,483,503,541,415,453,348,Upgrade
Market Cap Growth,-,-29.79%,15.07%,-8.34%,6.92%,-3.90%,-7.01%,30.30%,-8.32%,30.07%,42.30%,Upgrade
Enterprise Value,735,723,645,887,926,832,840,881,756,714,374,Upgrade
PE Ratio,17.06,19.63,7.70,5.84,14.39,15.71,19.36,21.18,25.04,35.55,23.66,Upgrade
PS Ratio,1.89,2.37,2.07,1.63,2.81,2.79,2.85,3.19,2.94,3.63,2.84,Upgrade
PB Ratio,0.79,1.03,1.26,1.15,1.31,1.21,1.22,1.32,1.06,1.00,1.62,Upgrade
P/FCF Ratio,8.97,1.86,3.55,-4.99,-11.92,12.87,4.76,-21.50,-26.00,-108.67,7.42,Upgrade
P/OCF Ratio,8.79,1.85,3.53,-5.06,-12.85,11.64,4.69,-22.47,-31.94,-204.25,6.66,Upgrade
EV/Sales Ratio,4.84,4.47,2.46,3.05,5.04,4.80,4.77,5.20,5.35,5.72,3.05,Upgrade
EV/EBITDA Ratio,30.36,25.35,6.57,7.80,17.71,18.49,18.08,19.74,26.13,30.78,14.36,Upgrade
EV/EBIT Ratio,35.96,29.52,7.01,8.20,19.46,20.66,18.92,20.97,29.27,35.86,16.03,Upgrade
EV/FCF Ratio,22.93,3.51,4.20,-9.35,-21.37,22.17,7.97,-35.02,-47.36,-171.38,7.97,Upgrade
Debt / Equity Ratio,1.37,1.04,1.10,1.23,1.23,1.09,0.94,0.94,1.13,0.96,2.12,Upgrade
Debt / EBITDA Ratio,20.73,13.57,4.86,4.47,9.25,9.67,8.31,8.68,15.25,18.71,17.48,Upgrade
Debt / FCF Ratio,15.66,1.88,3.10,-5.36,-11.16,11.59,3.66,-15.40,-27.65,-104.20,9.70,Upgrade
Asset Turnover,0.08,0.08,0.12,0.13,0.09,0.09,0.10,0.10,0.08,0.07,0.07,Upgrade
Return on Equity (ROE),4.40%,5.00%,16.30%,20.70%,9.30%,7.70%,6.30%,6.30%,4.10%,2.80%,7.00%,Upgrade
Return on Assets (ROA),0.80%,1.00%,3.20%,3.70%,1.80%,1.60%,1.40%,1.40%,0.90%,0.70%,0.90%,Upgrade
Return on Capital (ROIC),0.90%,1.10%,3.80%,4.10%,2.00%,1.80%,2.10%,2.00%,1.20%,1.00%,1.20%,Upgrade
Earnings Yield,5.69%,5.09%,12.99%,17.14%,6.95%,6.36%,5.16%,4.72%,3.99%,2.81%,4.23%,Upgrade
FCF Yield,11.15%,53.84%,28.20%,-20.02%,-8.39%,7.77%,20.99%,-4.65%,-3.85%,-0.92%,13.48%,Upgrade
Dividend Yield,6.09%,7.48%,5.71%,6.65%,4.98%,5.60%,5.44%,1.32%,1.42%,1.11%,-,Upgrade
Payout Ratio,105.30%,146.10%,43.60%,38.60%,71.00%,87.50%,103.20%,27.70%,35.10%,39.50%,0.00%,Upgrade
Buyback Yield / Dilution,10.00%,8.03%,2.75%,6.25%,5.02%,0.95%,-1.92%,6.99%,12.52%,2.31%,-0.72%,Upgrade
Total Shareholder Return,16.09%,15.51%,8.46%,12.90%,10.00%,6.55%,3.52%,8.31%,13.94%,3.43%,-0.72%,Upgrade
