Year,Current,2022,2021,2020
Market Capitalization,55,52,213,167
Market Cap Growth,-,-75.44%,28.16%,-
Enterprise Value,54,52,213,166
PE Ratio,41.38,7.99,38.48,-72.99
PB Ratio,-68.82,-26.23,-14.92,-8.39
P/FCF Ratio,-5529.78,-173.42,-236.24,-6116.43
P/OCF Ratio,-5529.78,-173.42,-236.24,-6116.43
EV/EBITDA Ratio,11.85,7.89,38.45,-72.58
EV/EBIT Ratio,11.85,7.89,38.45,-72.58
EV/FCF Ratio,-5498.84,-173.42,-236.11,-6081.86
Current Ratio,0.95,0.58,0.11,2.47
Return on Equity (ROE),-155.60%,-120.10%,-116.90%,-
Return on Assets (ROA),35.60%,12.40%,3.20%,-
Return on Capital (ROIC),48.70%,13.50%,3.20%,-
Earnings Yield,8.25%,12.52%,2.60%,-1.37%
FCF Yield,-0.02%,-0.58%,-0.42%,-0.02%
Buyback Yield / Dilution,74.52%,39.61%,-352.25%,-
Total Shareholder Return,74.52%,39.61%,-352.25%,-
