Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,318,234,246,350,"1,396","1,398","4,136",-,-
Market Cap Growth,-,-4.93%,-29.80%,-74.92%,-0.11%,-66.21%,-,-,-
Enterprise Value,-950,"-1,029","-1,245","-1,149",81,313,"2,676",-258,-103
PE Ratio,-4.50,-4.50,2.67,2.39,2.99,3.88,12.64,-,-
PS Ratio,3.78,2.82,0.95,0.62,1.11,1.26,5.73,-,-
PB Ratio,0.18,0.14,0.13,0.19,0.82,0.89,2.87,-,-
P/FCF Ratio,-127.69,-127.69,3.55,1.02,1.80,3.03,9.82,-,-
P/OCF Ratio,8.36,6.24,1.71,0.93,1.78,2.90,9.78,-,-
EV/Sales Ratio,-12.42,-12.42,-4.82,-2.04,0.06,0.28,3.71,-1.24,-2.84
EV/EBITDA Ratio,34.95,34.95,-8.40,-5.94,0.14,0.81,7.30,-2.53,2.87
EV/EBIT Ratio,26.61,26.61,-9.38,-6.16,0.14,0.82,7.32,-2.54,2.86
EV/FCF Ratio,562.22,562.22,-17.96,-3.34,0.10,0.68,6.35,-2.26,6.43
Debt / Equity Ratio,0.01,0.01,0.08,0.09,0.29,0.39,0.89,-1.24,-0.25
Debt / EBITDA Ratio,-0.74,-0.74,1.09,0.81,0.87,1.61,3.50,6.04,-7.11
Debt / FCF Ratio,-11.92,-11.92,2.33,0.46,0.63,1.34,3.05,5.40,-15.91
Current Ratio,18.91,18.91,24.76,24.74,4.37,2.89,2.06,1.53,0.76
Asset Turnover,0.04,0.04,0.12,0.27,0.51,0.45,0.36,0.30,-
Return on Equity (ROE),-3.00%,-3.00%,4.70%,8.70%,28.70%,24.10%,70.80%,-11.50%,-
Return on Assets (ROA),-2.70%,-2.70%,4.10%,6.90%,18.90%,14.60%,16.30%,11.80%,-
Return on Capital (ROIC),-2.80%,-2.80%,6.80%,10.40%,29.80%,22.90%,31.20%,20.20%,-
Earnings Yield,-16.59%,-22.22%,37.44%,41.87%,33.40%,25.79%,7.91%,-,-
FCF Yield,-0.58%,-0.78%,28.20%,98.25%,55.53%,33.05%,10.18%,-,-
Buyback Yield / Dilution,7.61%,7.61%,2.93%,8.69%,6.68%,-5.48%,-0.47%,-283.05%,-
Total Shareholder Return,7.61%,7.61%,2.93%,8.69%,6.68%,-5.48%,-0.47%,-283.05%,-
