Year,Current,2022,2021
Market Capitalization,229,223,215
Market Cap Growth,-,3.85%,-
Enterprise Value,229,223,214
PE Ratio,210.60,200.58,-335.42
PB Ratio,-489.23,-489.23,211.33
P/FCF Ratio,-290.22,-290.22,-334.17
P/OCF Ratio,-290.22,-290.22,-334.17
EV/EBITDA Ratio,205.94,200.77,-334.55
EV/EBIT Ratio,205.94,200.77,-334.55
EV/FCF Ratio,-290.49,-290.49,-333.29
Debt / Equity Ratio,-0.99,-0.99,0.44
Debt / EBITDA Ratio,0.40,0.40,-0.70
Debt / FCF Ratio,-0.59,-0.59,-0.70
Current Ratio,0.55,0.55,6.31
Return on Equity (ROE),326.30%,326.30%,-241.90%
Return on Assets (ROA),0.60%,0.60%,-1.40%
Return on Capital (ROIC),0.60%,0.60%,-1.40%
Earnings Yield,0.49%,0.50%,-0.30%
FCF Yield,-0.34%,-0.34%,-0.30%
Buyback Yield / Dilution,37.76%,37.76%,-
Total Shareholder Return,37.76%,37.76%,-
