Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"1,403","1,410","1,951","1,941",859,739,890,855,690,-
Market Cap Growth,-,-27.72%,0.49%,126.00%,16.18%,-16.93%,4.16%,23.87%,-,-
Enterprise Value,"3,288","3,383","3,779","3,536","1,619","1,392","1,421","1,348","1,086",341
PE Ratio,30.45,25.64,10.14,11.02,23.76,13.77,17.96,21.02,14.79,-
PS Ratio,3.62,3.95,5.62,11.22,5.83,5.04,6.51,6.83,5.83,-
PB Ratio,0.89,0.94,1.21,1.20,1.27,1.04,1.23,1.29,1.00,-
P/FCF Ratio,68.67,51.39,-65.34,11.71,-24.35,-15.02,-18.06,-27.26,-5.68,-
P/OCF Ratio,68.67,51.39,-65.34,11.71,-24.35,-15.02,-18.06,-27.26,-5.68,-
EV/Sales Ratio,8.51,9.46,10.89,20.45,11.00,9.49,10.39,10.78,9.17,4.66
EV/EBITDA Ratio,23.77,24.35,14.95,16.26,21.80,17.09,20.10,24.08,18.77,8.18
EV/EBIT Ratio,23.77,24.35,14.95,16.26,21.80,17.09,20.10,24.08,18.77,8.18
EV/FCF Ratio,161.29,123.30,-126.56,21.33,-45.91,-28.28,-28.83,-43.00,-8.95,-1.22
Debt / Equity Ratio,1.22,1.34,1.15,1.01,1.14,0.93,0.75,0.75,0.61,0.61
Debt / EBITDA Ratio,13.99,14.49,7.37,7.48,10.36,8.09,7.67,8.90,7.24,8.39
Debt / FCF Ratio,94.93,73.35,-62.35,9.81,-21.82,-13.39,-11.01,-15.89,-3.45,-1.25
Asset Turnover,0.11,0.10,0.10,0.09,0.10,0.11,0.11,0.11,0.11,-
Return on Equity (ROE),2.80%,3.50%,11.90%,20.40%,5.30%,7.40%,7.00%,6.10%,6.70%,-
Return on Assets (ROA),1.20%,1.50%,5.70%,8.80%,2.40%,4.10%,4.10%,3.50%,4.30%,-
Return on Capital (ROIC),2.50%,2.50%,5.10%,7.10%,3.30%,4.30%,4.20%,3.50%,4.10%,-
Earnings Yield,3.06%,3.90%,9.86%,9.07%,4.21%,7.26%,5.57%,4.76%,6.76%,-
FCF Yield,1.46%,1.95%,-1.53%,8.54%,-4.11%,-6.66%,-5.54%,-3.67%,-17.60%,-
Dividend Yield,14.05%,13.05%,10.16%,5.00%,8.45%,9.78%,7.81%,7.65%,6.81%,-
Payout Ratio,428.60%,333.30%,103.20%,55.20%,200.00%,134.30%,140.60%,160.70%,100.70%,0.00%
Buyback Yield / Dilution,-2.68%,-0.56%,-88.52%,-33.80%,-0.32%,-4.01%,-6.38%,-4.41%,-16.97%,-24.85%
Total Shareholder Return,11.40%,12.50%,-78.36%,-28.80%,8.13%,5.77%,1.43%,3.24%,-10.16%,-24.85%
