Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Market Capitalization,442,782,965,684,"1,203","1,377","1,283","1,177","1,038","1,002",698,Upgrade
Market Cap Growth,-,-18.96%,41.08%,-43.13%,-12.62%,7.33%,9.05%,13.39%,3.54%,43.48%,7.63%,Upgrade
Enterprise Value,"1,859","1,582","1,583","1,677","2,486","2,447","2,011","1,592","1,269","1,379",859,Upgrade
PE Ratio,10.97,11.58,15.27,15.22,28.55,70.27,68.97,74.36,184.34,98.36,107.35,Upgrade
PS Ratio,2.44,3.59,4.59,4.15,7.28,10.44,11.82,12.38,12.59,12.76,8.93,Upgrade
PB Ratio,0.51,0.88,0.93,0.63,1.07,1.09,1.21,1.02,0.89,2.03,1.49,Upgrade
P/FCF Ratio,5.31,9.90,12.91,49.74,36.49,37.39,37.19,31.80,56.09,44.64,24.00,Upgrade
P/OCF Ratio,5.39,9.62,12.80,35.42,30.85,30.54,33.30,30.03,50.61,38.53,23.34,Upgrade
EV/Sales Ratio,10.26,7.26,7.53,10.17,15.04,18.56,18.53,16.75,15.39,17.56,10.99,Upgrade
EV/EBITDA Ratio,31.52,15.98,17.34,26.59,40.41,65.10,66.14,61.79,169.31,80.32,74.68,Upgrade
EV/EBIT Ratio,35.37,17.13,18.74,29.28,44.34,71.97,73.33,70.42,291.05,95.75,98.12,Upgrade
EV/FCF Ratio,22.34,20.03,21.17,121.85,75.41,66.44,58.30,43.02,68.59,61.45,29.52,Upgrade
Debt / Equity Ratio,1.86,1.01,0.66,1.08,1.17,0.94,0.76,0.54,0.49,1.04,0.62,Upgrade
Debt / EBITDA Ratio,27.32,9.10,7.51,18.60,21.49,31.89,26.52,23.85,76.25,29.83,25.01,Upgrade
Debt / FCF Ratio,19.37,11.41,9.17,85.27,40.09,32.55,23.37,16.61,30.89,22.82,9.89,Upgrade
Asset Turnover,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,Upgrade
Return on Equity (ROE),4.60%,7.00%,5.90%,4.10%,3.60%,1.80%,1.70%,1.40%,0.90%,2.10%,1.30%,Upgrade
Return on Assets (ROA),0.50%,0.90%,0.90%,0.70%,0.60%,0.40%,0.40%,0.40%,0.10%,0.30%,0.20%,Upgrade
Return on Capital (ROIC),0.60%,1.20%,1.10%,0.70%,0.70%,0.60%,0.50%,0.50%,0.10%,0.40%,0.30%,Upgrade
Earnings Yield,9.09%,8.63%,6.55%,6.57%,3.50%,1.42%,1.45%,1.34%,0.54%,1.02%,0.93%,Upgrade
FCF Yield,18.82%,10.10%,7.75%,2.01%,2.74%,2.67%,2.69%,3.14%,1.78%,2.24%,4.17%,Upgrade
Dividend Yield,6.58%,3.90%,2.99%,3.49%,2.80%,1.50%,0.66%,0.61%,-,-,-,Upgrade
Payout Ratio,72.10%,45.30%,45.50%,52.70%,80.40%,104.20%,45.50%,44.40%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,7.21%,13.91%,0.05%,9.52%,-10.23%,2.38%,5.54%,2.41%,-1.06%,0.48%,0.49%,Upgrade
Total Shareholder Return,13.79%,17.81%,3.03%,13.01%,-7.43%,3.88%,6.20%,3.02%,-1.06%,0.48%,0.49%,Upgrade
