Year,Current,2022,2021,2020
Market Capitalization,95,283,281,290
Market Cap Growth,-,0.72%,-3.07%,-
Enterprise Value,95,283,281,289
PE Ratio,39.08,41.32,44.32,-70.08
PB Ratio,-31.86,-31.86,-20.44,-14.43
P/FCF Ratio,-256.78,-256.78,-512.39,-557.61
P/OCF Ratio,-256.78,-256.78,-512.39,-557.61
EV/EBITDA Ratio,13.22,39.53,44.20,-69.75
EV/EBIT Ratio,13.22,39.53,44.20,-69.75
EV/FCF Ratio,-256.62,-256.62,-511.03,-555.03
Current Ratio,0.28,0.28,2.98,12.47
Return on Equity (ROE),-78.60%,-78.60%,-141.30%,-
Return on Assets (ROA),3.80%,3.80%,2.70%,-
Return on Capital (ROIC),3.90%,3.90%,2.80%,-
Earnings Yield,7.23%,2.42%,2.26%,-1.43%
FCF Yield,-1.16%,-0.39%,-0.20%,-0.18%
Buyback Yield / Dilution,8.14%,8.14%,-85.52%,-
Total Shareholder Return,8.14%,8.14%,-85.52%,-
