Year,Current,2022,2021,2020
Market Capitalization,93,258,249,-
Market Cap Growth,-,3.60%,-,-
Enterprise Value,94,258,249,0
PE Ratio,270.00,260.32,-312.18,-
PB Ratio,-339.37,-339.37,-1766.26,-
P/FCF Ratio,-263.74,-263.74,-263.99,-
P/OCF Ratio,-263.74,-263.74,-263.99,-
EV/EBITDA Ratio,63.65,175.86,-312.06,-
EV/EBIT Ratio,63.65,175.86,-312.06,-39.96
EV/FCF Ratio,-263.99,-263.99,-263.90,-
Debt / Equity Ratio,-0.44,-0.44,-,2.69
Debt / EBITDA Ratio,0.23,0.23,-,-
Debt / FCF Ratio,-0.34,-0.34,-,-
Current Ratio,0.10,0.10,0.99,1.13
Return on Equity (ROE),-216.30%,-216.30%,-31.50%,-
Return on Assets (ROA),0.60%,0.60%,-0.40%,-
Return on Capital (ROIC),0.90%,0.90%,-0.40%,-
Earnings Yield,1.06%,0.38%,-0.32%,-
FCF Yield,-1.05%,-0.38%,-0.38%,-
Buyback Yield / Dilution,-14.49%,-14.49%,-397.00%,-
Total Shareholder Return,-14.49%,-14.49%,-397.00%,-
