Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,"1,683","1,958","2,331","1,579","2,937","2,673","2,976","2,414","2,138","2,026","2,140",Upgrade
Market Cap Growth,-,-15.99%,47.62%,-46.23%,9.87%,-10.16%,23.25%,12.92%,5.53%,-5.34%,20.64%,Upgrade
Enterprise Value,"4,409","3,450","2,007","2,626","4,826","4,792","4,944","4,087","3,734","3,203","3,909",Upgrade
PE Ratio,6.25,8.83,13.43,9.11,13.97,13.11,17.15,14.72,13.34,12.88,14.13,Upgrade
PS Ratio,2.30,2.98,4.13,2.95,5.39,5.12,6.12,5.10,4.60,4.49,5.34,Upgrade
PB Ratio,0.71,0.86,1.10,0.78,1.45,1.34,1.48,1.22,1.09,1.03,1.11,Upgrade
P/FCF Ratio,5.89,7.63,8.08,8.32,13.72,16.34,17.56,12.40,20.79,16.62,14.07,Upgrade
P/OCF Ratio,5.68,7.29,7.41,9.48,12.55,14.02,16.56,10.89,14.97,11.66,11.80,Upgrade
EV/Sales Ratio,6.04,5.24,3.55,4.91,8.85,9.19,10.17,8.63,8.03,7.09,9.76,Upgrade
EV/EBITDA Ratio,11.19,9.47,7.52,10.13,16.42,15.76,16.60,15.27,13.96,12.21,15.61,Upgrade
EV/EBIT Ratio,12.24,11.50,8.61,11.98,18.36,18.63,19.30,16.47,14.97,13.08,16.66,Upgrade
EV/FCF Ratio,15.43,13.44,6.96,13.83,22.54,29.30,29.18,21.00,36.32,26.27,25.69,Upgrade
Debt / Equity Ratio,1.62,0.96,0.83,1.37,1.14,1.20,1.14,1.07,0.96,0.99,1.02,Upgrade
Debt / EBITDA Ratio,9.76,5.97,6.62,10.61,7.85,7.85,7.66,7.93,7.03,7.47,7.88,Upgrade
Debt / FCF Ratio,13.45,8.47,6.13,14.48,10.78,14.60,13.47,10.91,18.28,16.07,12.96,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),11.60%,10.00%,7.90%,8.60%,10.50%,10.20%,8.60%,8.30%,8.20%,8.00%,7.90%,Upgrade
Return on Assets (ROA),1.30%,1.10%,0.90%,1.00%,1.30%,1.30%,1.20%,1.10%,1.10%,1.10%,1.20%,Upgrade
Return on Capital (ROIC),1.60%,1.50%,1.20%,1.20%,1.40%,1.50%,1.50%,1.50%,1.60%,1.60%,1.70%,Upgrade
Earnings Yield,15.90%,11.32%,7.45%,10.98%,7.16%,7.63%,5.83%,6.80%,7.50%,7.77%,7.08%,Upgrade
FCF Yield,16.98%,13.11%,12.37%,12.02%,7.29%,6.12%,5.69%,8.06%,4.81%,6.02%,7.11%,Upgrade
Dividend Yield,3.79%,3.17%,2.83%,4.23%,2.17%,2.13%,2.52%,2.09%,2.41%,2.06%,1.67%,Upgrade
Payout Ratio,23.70%,27.90%,38.10%,38.50%,30.30%,27.90%,43.10%,30.70%,32.00%,26.30%,23.40%,Upgrade
Buyback Yield / Dilution,-0.16%,9.87%,5.43%,4.68%,5.42%,4.61%,2.93%,4.31%,5.45%,3.10%,2.16%,Upgrade
Total Shareholder Return,3.63%,13.04%,8.26%,8.90%,7.59%,6.74%,5.44%,6.41%,7.86%,5.15%,3.82%,Upgrade
