Year,Current,2022,2021
Market Capitalization,"1,636","1,078","1,743"
Market Cap Growth,-,-38.18%,-
Enterprise Value,"3,016","2,736","2,043"
PE Ratio,4.55,2.20,-39.62
PS Ratio,0.27,0.21,0.24
PB Ratio,0.90,0.74,1.22
P/FCF Ratio,27.39,12.99,1.10
P/OCF Ratio,8.88,10.07,1.10
EV/Sales Ratio,0.50,0.54,0.28
EV/EBITDA Ratio,5.27,3.57,-61.92
EV/EBIT Ratio,5.39,3.63,-61.92
EV/FCF Ratio,50.26,32.96,1.29
Debt / Equity Ratio,2.05,2.62,0.48
Debt / EBITDA Ratio,6.51,4.96,-21.00
Debt / FCF Ratio,62.10,45.82,0.44
Asset Turnover,0.14,0.12,0.63
Return on Equity (ROE),19.90%,38.40%,-3.10%
Return on Assets (ROA),0.60%,1.20%,-0.40%
Return on Capital (ROIC),1.30%,1.70%,-0.30%
Earnings Yield,15.82%,45.46%,-2.52%
FCF Yield,3.65%,7.70%,90.63%
Dividend Yield,1.78%,1.34%,0.42%
Payout Ratio,4.10%,2.70%,-10.10%
Buyback Yield / Dilution,-46.76%,-23.75%,-
Total Shareholder Return,-44.97%,-22.40%,0.42%
