Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,"2,920","3,448","5,253","4,870","3,050","4,875","3,426","2,213","3,134",-,-
Market Cap Growth,-,-34.36%,7.86%,59.68%,-37.44%,42.29%,54.78%,-29.38%,-,-,-
Enterprise Value,"11,412","10,334","11,244","10,215","9,072","8,948","7,839","4,193","5,013","1,957","2,833"
PE Ratio,8.98,13.01,11.02,7.50,-52.05,16.84,1165.69,67.12,150.07,-,-
PS Ratio,1.28,1.46,1.87,1.50,2.01,2.60,3.33,3.15,3.94,-,-
PB Ratio,2.25,2.57,3.39,3.32,3.28,4.63,4.13,15.20,23.98,-,-
P/FCF Ratio,3.93,5.37,4.73,4.87,27.49,7.31,13.31,10.09,13.28,-,-
P/OCF Ratio,3.61,4.88,4.48,4.59,18.07,6.82,11.79,9.24,12.04,-,-
EV/Sales Ratio,5.00,4.37,4.00,3.15,5.98,4.76,7.63,5.97,6.30,2.71,4.26
EV/EBITDA Ratio,15.69,13.91,12.04,8.58,33.03,13.97,26.08,24.84,32.42,6.48,10.07
EV/EBIT Ratio,17.21,15.27,12.98,9.08,43.40,15.45,30.95,30.14,41.43,7.21,11.00
EV/FCF Ratio,15.30,16.10,10.12,10.21,81.76,13.42,30.45,19.12,21.25,8.27,12.46
Debt / Equity Ratio,7.11,5.91,4.59,4.33,7.30,4.57,5.96,14.84,15.62,9.58,14.26
Debt / EBITDA Ratio,12.77,10.67,7.61,5.33,24.74,7.51,16.45,12.80,13.21,6.73,10.30
Debt / FCF Ratio,12.45,12.34,6.40,6.35,61.24,7.21,19.21,9.85,8.65,8.60,12.75
Asset Turnover,0.20,0.21,0.27,0.32,0.16,0.25,0.18,0.18,0.20,0.20,-
Return on Equity (ROE),15.60%,19.40%,30.50%,49.30%,-6.00%,28.40%,0.60%,23.50%,14.30%,91.50%,-
Return on Assets (ROA),1.90%,2.30%,4.50%,6.40%,-0.60%,3.90%,0.00%,0.80%,0.50%,5.20%,-
Return on Capital (ROIC),3.90%,3.90%,5.80%,7.90%,1.60%,5.50%,3.00%,2.40%,2.10%,5.10%,-
Earnings Yield,7.18%,7.69%,9.08%,13.33%,-1.92%,5.94%,0.09%,1.49%,0.67%,-,-
FCF Yield,25.42%,18.62%,21.16%,20.55%,3.64%,13.68%,7.52%,9.91%,7.53%,-,-
Dividend Yield,5.40%,2.91%,2.16%,2.41%,3.59%,2.01%,1.75%,1.67%,0.54%,-,-
Payout Ratio,48.00%,39.20%,24.30%,18.50%,-181.10%,34.00%,3200.00%,115.70%,80.00%,-,-
Buyback Yield / Dilution,11.13%,11.82%,3.19%,-7.39%,-11.59%,-63.14%,-62.38%,-9.05%,74.39%,-,-
Total Shareholder Return,16.50%,14.73%,5.36%,-4.97%,-8.00%,-61.13%,-60.62%,-7.38%,74.93%,-,-
