Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,21,19,23,32,38,30,49,62,71,-,-
Market Cap Growth,-,-14.84%,-29.27%,-16.98%,27.39%,-39.06%,-20.57%,-12.22%,-,-,-
Enterprise Value,32,25,46,65,67,53,67,67,71,9,2
PE Ratio,-2.71,-1.80,-20.59,53.52,-4.90,-3.26,-2.29,-7.37,-148.87,-,-
PS Ratio,0.19,0.18,0.19,0.31,0.40,0.30,0.51,0.66,1.00,-,-
PB Ratio,0.88,1.01,0.56,0.72,0.90,0.71,0.94,0.92,0.92,-,-
P/FCF Ratio,-0.49,-0.47,4.21,10.68,2.50,-1.76,5.44,10.42,-21.45,-,-
P/OCF Ratio,-0.49,-0.47,4.21,10.68,2.50,-1.77,5.44,10.09,-22.60,-,-
EV/Sales Ratio,0.31,0.24,0.40,0.62,0.69,0.53,0.69,0.72,1.00,0.15,0.05
EV/EBITDA Ratio,-2.42,-1.52,15.86,14.00,-13.81,-9.28,-3.38,-9.81,37.17,-1.58,1.09
EV/EBIT Ratio,-2.33,-1.46,23.49,18.33,-11.40,-8.09,-3.23,-8.58,80.49,-1.37,2.01
EV/FCF Ratio,-0.81,-0.62,8.62,21.68,4.34,-3.09,7.33,11.30,-21.47,1.55,0.79
Debt / Equity Ratio,1.52,1.79,0.83,0.92,0.84,0.79,0.55,0.26,0.17,0.62,0.62
Debt / EBITDA Ratio,-2.66,-2.06,11.53,8.88,-7.41,-5.89,-1.47,-2.58,6.68,-4.81,7.98
Debt / FCF Ratio,-0.89,-0.84,6.27,13.75,2.33,-1.96,3.20,2.97,-3.86,4.70,5.79
Asset Turnover,0.36,0.36,0.43,0.41,0.40,0.43,0.43,0.48,0.41,0.47,-
Return on Equity (ROE),-36.60%,-51.80%,-2.70%,1.40%,-17.60%,-19.40%,-36.20%,-11.40%,-0.80%,-22.00%,-
Return on Assets (ROA),-2.30%,-3.70%,-0.40%,0.20%,-3.20%,-4.00%,-9.60%,-4.30%,-0.30%,-5.50%,-
Return on Capital (ROIC),-4.40%,-5.60%,0.70%,1.20%,-2.30%,-2.70%,-8.90%,-4.00%,0.50%,-4.90%,-
Earnings Yield,-34.63%,-55.69%,-4.86%,1.87%,-20.39%,-30.64%,-43.60%,-13.56%,-0.67%,-,-
FCF Yield,-193.03%,-211.03%,23.78%,9.36%,40.05%,-56.77%,18.37%,9.60%,-4.66%,-,-
Buyback Yield / Dilution,-25.84%,-10.32%,-0.70%,-8.39%,-3.94%,-8.60%,-3.27%,-41.87%,-100.94%,-52.74%,-0.47%
Total Shareholder Return,-25.84%,-10.32%,-0.70%,-8.39%,-3.94%,-8.60%,-3.27%,-41.87%,-100.94%,-52.74%,-0.47%
