Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"2,737","3,181","3,532","1,770","1,405","2,230"
Market Cap Growth,-,-9.95%,99.63%,25.93%,-36.99%,-
Enterprise Value,"-1,318",-944,93,-930,-707,"1,649"
PE Ratio,4.84,5.51,3.91,3.31,3.93,-8.09
PS Ratio,1.18,1.34,1.36,0.85,1.07,3.47
PB Ratio,1.04,1.18,1.49,1.22,1.36,3.47
P/FCF Ratio,3.32,3.76,3.92,2.18,3.34,55.72
P/OCF Ratio,3.30,3.74,3.90,2.17,3.31,54.05
EV/Sales Ratio,-0.40,-0.40,0.04,-0.45,-0.54,2.56
EV/EBITDA Ratio,-1.36,-1.36,0.08,-1.48,-1.69,6.81
EV/EBIT Ratio,-1.38,-1.38,0.08,-1.49,-1.69,6.82
EV/FCF Ratio,-1.12,-1.12,0.10,-1.15,-1.68,41.19
Debt / Equity Ratio,0.01,0.01,0.03,0.02,0.03,-
Debt / EBITDA Ratio,0.03,0.03,0.06,0.05,0.07,-
Debt / FCF Ratio,0.03,0.03,0.07,0.04,0.07,-
Current Ratio,2.04,2.04,1.96,1.63,2.02,2.54
Asset Turnover,0.43,0.43,0.56,0.57,0.57,0.85
Return on Equity (ROE),23.00%,23.00%,43.90%,45.40%,39.90%,-73.60%
Return on Assets (ROA),10.50%,10.50%,19.40%,14.70%,15.50%,-36.50%
Return on Capital (ROIC),42.00%,42.00%,84.00%,98.20%,52.10%,150.50%
Earnings Yield,20.57%,18.15%,25.57%,30.21%,25.43%,-12.36%
FCF Yield,30.14%,26.59%,25.50%,45.89%,29.97%,1.79%
Dividend Yield,4.25%,8.06%,2.44%,-,-,-
Payout Ratio,22.20%,22.20%,4.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-1.73%,-1.73%,-3.03%,-3.25%,-42.45%,-2.22%
Total Shareholder Return,2.41%,6.33%,-0.60%,-3.25%,-42.45%,-2.22%
