Year,Current,2022,2021
Market Capitalization,579,564,420
Market Cap Growth,-,34.25%,-
Enterprise Value,579,564,417
PE Ratio,129.25,409.39,-522.90
PB Ratio,-32.98,-33.87,-30.59
P/FCF Ratio,-150.33,-149.41,-683.14
P/OCF Ratio,-150.33,-149.41,-683.14
EV/EBITDA Ratio,81.69,219.46,-518.57
EV/EBIT Ratio,81.69,219.46,-518.57
EV/FCF Ratio,-150.40,-149.26,-677.49
Debt / Equity Ratio,-0.02,-,-
Debt / EBITDA Ratio,0.04,-,-
Debt / FCF Ratio,-0.08,-,-
Current Ratio,0.06,0.70,41.80
Return on Equity (ROE),-30.50%,-8.80%,-
Return on Assets (ROA),1.20%,0.30%,-
Return on Capital (ROIC),1.70%,0.60%,-
Earnings Yield,0.86%,0.24%,-0.19%
FCF Yield,-0.66%,-0.67%,-0.15%
Buyback Yield / Dilution,-231.32%,-,
Total Shareholder Return,-231.32%,-,
