Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,357,502,448,358,497,350,401,387,260,266,273,Upgrade
Market Cap Growth,-,12.24%,24.91%,-27.84%,41.92%,-12.75%,3.68%,48.91%,-2.28%,-2.76%,33.79%,Upgrade
Enterprise Value,412,667,-159,-84,622,620,694,665,474,370,352,Upgrade
PE Ratio,5.39,8.53,8.38,11.34,12.39,10.38,16.81,18.83,11.70,11.52,16.39,Upgrade
PS Ratio,1.63,2.33,2.39,2.43,3.65,2.93,3.77,4.08,2.91,3.05,4.09,Upgrade
PB Ratio,0.65,0.95,1.01,0.86,1.63,1.33,1.64,1.83,1.29,1.41,1.66,Upgrade
P/FCF Ratio,6.92,9.61,8.42,15.07,11.23,8.17,15.14,22.49,9.36,11.35,9.42,Upgrade
P/OCF Ratio,5.49,7.84,7.60,12.46,9.54,7.80,13.04,14.45,7.72,9.19,8.13,Upgrade
EV/Sales Ratio,1.87,3.09,-0.85,-0.57,4.57,5.19,6.53,7.02,5.31,4.24,5.27,Upgrade
EV/EBITDA Ratio,4.75,7.87,-2.07,-1.82,11.38,13.77,16.72,20.66,13.72,10.13,13.72,Upgrade
EV/EBIT Ratio,5.15,8.53,-2.25,-2.10,12.78,15.41,19.13,24.01,15.53,11.42,15.29,Upgrade
EV/FCF Ratio,7.98,12.76,-2.99,-3.54,14.05,14.48,26.19,38.68,17.07,15.79,12.14,Upgrade
Debt / Equity Ratio,0.44,0.51,0.28,0.22,1.04,1.20,1.34,1.45,1.19,0.70,0.66,Upgrade
Debt / EBITDA Ratio,2.80,3.19,1.63,1.95,5.82,7.01,7.90,9.56,6.98,3.62,4.23,Upgrade
Debt / FCF Ratio,4.71,5.18,2.36,3.79,7.19,7.37,12.38,17.89,8.69,5.65,3.74,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.90%,12.40%,12.40%,8.50%,13.80%,13.30%,9.90%,9.70%,11.20%,12.80%,11.60%,Upgrade
Return on Assets (ROA),1.10%,1.10%,1.00%,0.70%,1.10%,1.10%,0.90%,0.80%,1.00%,1.10%,0.90%,Upgrade
Return on Capital (ROIC),1.50%,1.50%,1.60%,1.00%,1.30%,1.20%,1.20%,1.10%,1.30%,1.50%,1.20%,Upgrade
Earnings Yield,16.82%,11.72%,11.93%,8.82%,8.07%,9.64%,5.95%,5.31%,8.55%,8.68%,6.10%,Upgrade
FCF Yield,14.44%,10.40%,11.88%,6.64%,8.91%,12.24%,6.60%,4.45%,10.68%,8.81%,10.61%,Upgrade
Dividend Yield,4.13%,2.94%,2.58%,3.19%,2.08%,2.92%,2.52%,2.47%,3.66%,3.57%,3.47%,Upgrade
Payout Ratio,22.20%,21.50%,21.70%,34.50%,25.90%,30.30%,42.00%,46.50%,42.90%,41.20%,51.20%,Upgrade
Buyback Yield / Dilution,-25.17%,-25.03%,-0.35%,-10.77%,0.33%,0.24%,-5.65%,-0.41%,-0.27%,0.13%,-15.34%,Upgrade
Total Shareholder Return,-21.05%,-22.09%,2.23%,-7.58%,2.41%,3.16%,-3.14%,2.06%,3.40%,3.70%,-11.87%,Upgrade
