Year,Current,2022,2021,2020
Market Capitalization,46,50,149,130
Market Cap Growth,-,-66.30%,15.37%,-
Enterprise Value,46,50,149,129
PE Ratio,26.19,13.30,17.17,-51.06
PB Ratio,-7.71,-7.71,-16.76,-8.51
P/FCF Ratio,-16.67,-16.67,-217.13,-510.85
P/OCF Ratio,-16.67,-16.67,-217.13,-510.85
EV/EBITDA Ratio,12.24,13.29,17.17,-50.84
EV/EBIT Ratio,12.24,13.29,17.17,-50.84
EV/FCF Ratio,-16.66,-16.66,-217.12,-508.66
Debt / Equity Ratio,-,-,-,-0.01
Debt / EBITDA Ratio,-,-,-,-0.05
Debt / FCF Ratio,-,-,-,-0.54
Current Ratio,0.04,0.04,0.07,2.75
Return on Equity (ROE),-58.20%,-58.20%,-554.80%,-
Return on Assets (ROA),7.40%,7.40%,7.40%,-
Return on Capital (ROIC),7.90%,7.90%,7.50%,-
Earnings Yield,8.16%,7.52%,5.82%,-1.96%
FCF Yield,-6.51%,-6.00%,-0.46%,-0.20%
Buyback Yield / Dilution,36.48%,36.48%,-214.63%,-
Total Shareholder Return,36.48%,36.48%,-214.63%,-
