Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,193,262,326,155,271,250,-
Market Cap Growth,-,-19.67%,109.61%,-42.65%,8.47%,-,-
Enterprise Value,9,142,140,50,155,118,-34
PE Ratio,5.77,7.48,8.13,9.61,11.25,10.29,-
PS Ratio,1.89,2.60,3.25,2.40,3.54,3.33,-
PB Ratio,0.57,0.78,1.27,0.67,1.20,1.19,-
P/FCF Ratio,4.71,5.05,-159.22,10.16,9.22,8.46,-
P/OCF Ratio,4.18,4.57,-201.56,9.10,9.00,8.15,-
EV/Sales Ratio,0.09,1.41,1.40,0.77,2.02,1.57,-0.50
EV/EBITDA Ratio,0.18,2.78,2.40,2.03,4.32,3.27,-1.04
EV/EBIT Ratio,0.18,2.87,2.46,2.17,4.51,3.39,-1.07
EV/FCF Ratio,0.22,2.73,-68.43,3.26,5.27,3.98,-1.69
Debt / Equity Ratio,0.02,0.08,0.07,0.38,0.13,0.14,0.28
Debt / EBITDA Ratio,0.12,0.53,0.30,3.61,0.84,0.83,1.23
Debt / FCF Ratio,0.15,0.52,-8.52,5.78,1.02,1.02,2.01
Asset Turnover,0.04,0.04,0.05,0.03,0.05,0.05,0.05
Return on Equity (ROE),10.50%,11.10%,16.30%,7.10%,10.80%,13.70%,12.20%
Return on Assets (ROA),1.50%,1.50%,1.90%,0.80%,1.40%,1.50%,1.20%
Return on Capital (ROIC),2.20%,2.30%,3.00%,1.30%,2.10%,2.30%,2.50%
Earnings Yield,18.12%,13.36%,12.30%,10.40%,8.89%,9.72%,-
FCF Yield,21.23%,19.79%,-0.63%,9.85%,10.85%,11.82%,-
Dividend Yield,4.66%,3.45%,2.06%,3.97%,1.49%,0.35%,-
Payout Ratio,18.90%,25.50%,16.50%,38.10%,16.40%,3.60%,0.00%
Buyback Yield / Dilution,3.74%,1.24%,1.26%,4.47%,-10.08%,-8.50%,-7.39%
Total Shareholder Return,8.41%,4.69%,3.32%,8.45%,-8.59%,-8.15%,-7.39%
