Year,Current,2022,2021,2020
Market Capitalization,441,314,"1,592",285
Market Cap Growth,-,-80.30%,459.70%,-
Enterprise Value,214,69,774,65
PE Ratio,-1.13,-0.94,-4.29,-2.01
PS Ratio,3.22,2.62,17.46,5.51
PB Ratio,0.81,0.53,1.85,-1.42
P/FCF Ratio,-2.42,-1.73,-11.49,-3.80
P/OCF Ratio,-2.73,-1.94,-12.79,-4.35
EV/Sales Ratio,1.59,0.58,8.48,1.26
EV/EBITDA Ratio,-0.50,-0.22,-2.15,-0.59
EV/EBIT Ratio,-0.47,-0.21,-2.09,-0.55
EV/FCF Ratio,-1.01,-0.38,-5.58,-0.87
Debt / Equity Ratio,-,-,-,-1.37
Debt / EBITDA Ratio,-,-,-,-2.47
Debt / FCF Ratio,-,-,-,-3.65
Current Ratio,-,-,-,11.23
Asset Turnover,0.08,0.07,0.07,0.09
Return on Equity (ROE),-53.40%,-48.00%,-165.10%,101.80%
Return on Assets (ROA),-20.90%,-20.50%,-27.00%,-24.60%
Return on Capital (ROIC),-27.00%,-27.70%,-47.10%,-30.60%
Earnings Yield,-77.18%,-106.30%,-23.32%,-49.74%
FCF Yield,-35.87%,-57.77%,-8.70%,-26.29%
Buyback Yield / Dilution,-3.27%,-108.94%,-213.21%,-715.78%
Total Shareholder Return,-3.27%,-108.94%,-213.21%,-715.78%
