Year,Current,2022,2021,2020
Market Capitalization,97,349,342,-
Market Cap Growth,-,2.12%,-,-
Enterprise Value,96,347,341,0
PE Ratio,74.21,72.17,-129.73,-
PB Ratio,-28.07,-28.07,-19.89,-
P/FCF Ratio,-361.19,-361.19,-508.03,-
P/OCF Ratio,-361.19,-361.19,-508.03,-
EV/EBITDA Ratio,16.98,61.66,-129.61,-217.46
EV/EBIT Ratio,16.98,61.66,-129.61,-217.46
EV/FCF Ratio,-359.34,-359.34,-507.56,-4399.46
Debt / Equity Ratio,-0.02,-0.02,-0.01,6.13
Debt / EBITDA Ratio,0.05,0.05,-0.06,-285.17
Debt / FCF Ratio,-0.31,-0.31,-0.22,-5769.23
Current Ratio,0.30,0.30,0.22,1.05
Return on Equity (ROE),-34.80%,-34.80%,64.60%,-
Return on Assets (ROA),2.30%,2.30%,-1.00%,-
Return on Capital (ROIC),2.70%,2.70%,-1.00%,-
Earnings Yield,4.97%,1.39%,-0.77%,-
FCF Yield,-0.99%,-0.28%,-0.20%,-
Buyback Yield / Dilution,-0.68%,-0.68%,-14.22%,-
Total Shareholder Return,-0.68%,-0.68%,-14.22%,-
