Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Market Capitalization,"2,114","1,050",896,996,"2,428","2,961","6,774","3,762","3,397","2,556","1,419",Upgrade
Market Cap Growth,-,17.12%,-9.96%,-58.99%,-18.02%,-56.28%,80.08%,10.72%,32.92%,80.18%,33.79%,Upgrade
Enterprise Value,"1,887",822,-241,258,"1,319","1,542","5,852","1,301","3,226","2,260","1,183",Upgrade
PE Ratio,592.00,4.54,2.07,1.10,3.41,-74.42,13.72,9.18,8.78,6.23,3.78,Upgrade
PS Ratio,0.75,0.37,0.25,0.21,0.59,0.87,1.45,2.55,2.53,1.70,1.01,Upgrade
PB Ratio,0.73,0.36,0.20,0.37,1.00,1.19,1.75,1.28,2.79,1.90,1.08,Upgrade
P/FCF Ratio,0.76,0.38,1.25,0.25,7.27,0.72,-4.09,4.91,10.54,5.14,4.98,Upgrade
P/OCF Ratio,0.72,0.36,1.05,0.24,5.10,0.70,-4.81,4.76,9.66,4.84,4.55,Upgrade
EV/Sales Ratio,0.67,0.29,-0.07,0.05,0.32,0.45,1.25,0.88,2.40,1.50,0.84,Upgrade
EV/EBITDA Ratio,4.47,1.95,-0.41,0.17,1.05,2.71,4.47,2.09,5.63,3.56,2.06,Upgrade
EV/EBIT Ratio,5.63,2.45,-0.53,0.19,1.14,3.17,4.91,2.09,5.63,3.56,2.06,Upgrade
EV/FCF Ratio,0.67,0.29,-0.34,0.06,3.95,0.38,-3.54,1.70,10.01,4.54,4.16,Upgrade
Debt / Equity Ratio,0.41,0.41,0.47,0.58,0.49,0.66,0.50,0.58,0.21,0.19,0.20,Upgrade
Debt / EBITDA Ratio,2.82,2.82,3.60,1.04,0.94,2.87,1.46,2.72,0.45,0.41,0.46,Upgrade
Debt / FCF Ratio,0.43,0.43,2.96,0.39,3.54,0.40,-1.16,2.21,0.80,0.52,0.92,Upgrade
Asset Turnover,0.25,0.25,0.24,0.45,0.43,0.29,0.27,0.12,0.19,0.19,0.17,Upgrade
Return on Equity (ROE),8.30%,8.30%,12.80%,41.20%,35.80%,-1.80%,15.40%,20.90%,36.90%,34.90%,33.20%,Upgrade
Return on Assets (ROA),2.00%,2.00%,2.90%,8.70%,7.40%,-0.30%,2.90%,3.30%,5.60%,5.20%,4.60%,Upgrade
Return on Capital (ROIC),3.10%,3.10%,3.20%,14.10%,13.60%,4.60%,7.70%,5.60%,8.50%,8.30%,7.20%,Upgrade
Earnings Yield,10.93%,22.02%,48.40%,90.87%,29.33%,-1.34%,7.29%,10.89%,11.39%,16.05%,26.44%,Upgrade
FCF Yield,132.28%,266.41%,80.21%,403.07%,13.76%,138.08%,-24.42%,20.36%,9.49%,19.47%,20.06%,Upgrade
Dividend Yield,66.75%,66.75%,-,-,61.25%,47.51%,6.43%,15.59%,-,28.70%,-,Upgrade
Payout Ratio,30.30%,30.30%,0.00%,0.00%,20.20%,-371.40%,9.20%,14.30%,0.00%,17.90%,0.00%,Upgrade
Buyback Yield / Dilution,-1.57%,-,-,3.29%,-5.02%,-7.69%,-,-,-0.01%,-,-,Upgrade
Total Shareholder Return,-1.57%,66.75%,-,3.29%,56.23%,39.82%,6.43%,15.59%,-0.01%,28.70%,-,Upgrade
