Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,22,27,22,21,33,24,43,46,47,50
Market Cap Growth,-,22.74%,4.27%,-37.04%,37.94%,-44.48%,-6.65%,-1.75%,-5.34%,-
Enterprise Value,17,24,6,9,5,20,20,3,-1,-4
PE Ratio,9.63,-38.19,-2.14,-0.88,-30.51,-79.24,147.58,4225.38,-28.28,15.89
PS Ratio,0.82,1.33,2.87,-1.22,5.94,19.94,1.14,1.44,1.74,2.64
PB Ratio,0.56,0.72,0.64,0.61,0.53,0.38,0.93,1.00,1.00,1.00
P/FCF Ratio,-2.64,-2.41,-1.51,-1.85,-1.61,0.97,5.79,14.13,8.81,3.94
P/OCF Ratio,-2.66,-2.43,-1.51,-1.85,-1.61,0.97,5.76,13.78,8.73,3.87
EV/Sales Ratio,0.66,1.18,0.83,-0.51,0.84,16.91,0.52,0.11,-0.02,-0.19
EV/EBITDA Ratio,2.80,21.84,-0.74,-0.38,4.50,41.18,12.66,18.46,0.28,-0.64
EV/EBIT Ratio,2.80,21.84,-0.74,-0.38,4.50,41.18,13.28,28.86,0.28,-0.64
EV/FCF Ratio,-2.18,-2.14,-0.43,-0.78,-0.23,0.82,2.64,1.04,-0.12,-0.29
Asset Turnover,0.57,0.47,0.19,-0.38,0.04,0.01,0.36,0.36,0.34,0.30
Return on Equity (ROE),12.60%,-2.10%,-29.60%,-54.10%,-1.80%,-0.50%,0.60%,0.00%,-3.50%,7.20%
Return on Assets (ROA),9.60%,-1.60%,-25.00%,-53.50%,-0.80%,-0.20%,0.30%,0.00%,-2.10%,4.90%
Return on Capital (ROIC),16.10%,3.20%,-28.50%,-94.80%,0.80%,0.40%,2.00%,0.30%,-8.20%,31.70%
Earnings Yield,20.51%,-2.62%,-46.79%,-114.04%,-3.28%,-1.26%,0.68%,0.02%,-3.54%,6.30%
FCF Yield,-43.00%,-41.47%,-66.11%,-54.00%,-62.12%,102.92%,17.28%,7.08%,11.35%,25.38%
Buyback Yield / Dilution,-45.46%,-54.05%,9.28%,4.52%,-0.48%,-0.33%,1.29%,3.80%,-41.15%,-345.40%
Total Shareholder Return,-45.46%,-54.05%,9.28%,4.52%,-0.48%,-0.33%,1.29%,3.80%,-41.15%,-345.40%
