Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,704,838,551,501,496,310,-,-,-
Market Cap Growth,-,52.07%,9.99%,1.02%,60.18%,-,-,-,-
Enterprise Value,652,841,321,408,524,245,-34,-32,-8
PE Ratio,12.69,18.54,12.13,13.17,18.58,12.16,-,-,-
PS Ratio,5.45,6.89,4.99,5.08,6.44,4.32,-,-,-
PB Ratio,1.25,1.85,1.71,1.70,2.15,1.78,-,-,-
P/FCF Ratio,21.30,25.29,17.16,13.97,32.25,19.89,-,-,-
P/OCF Ratio,16.91,20.95,13.68,11.40,21.90,13.43,-,-,-
EV/Sales Ratio,5.04,6.91,2.90,4.14,6.80,3.42,-0.63,-0.67,-0.26
EV/EBITDA Ratio,9.96,13.23,5.08,7.69,14.30,7.22,-1.35,-1.36,2.04
EV/EBIT Ratio,10.82,14.11,5.35,8.18,15.28,7.64,-1.43,-1.41,1.74
EV/FCF Ratio,19.72,25.39,9.99,11.38,34.06,15.73,-2.22,-2.44,-1.00
Debt / Equity Ratio,0.21,0.27,0.21,0.26,0.50,0.25,0.42,-,0.11
Debt / EBITDA Ratio,1.80,1.93,1.06,1.46,3.12,1.27,2.66,-,-2.39
Debt / FCF Ratio,3.56,3.70,2.07,2.16,7.43,2.76,4.36,-,1.17
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.09,-
Return on Equity (ROE),10.30%,11.90%,14.50%,13.90%,13.00%,15.20%,13.10%,19.80%,-
Return on Assets (ROA),1.30%,1.40%,1.60%,1.50%,1.30%,1.40%,1.40%,2.90%,-
Return on Capital (ROIC),1.80%,1.90%,2.30%,2.00%,1.80%,1.90%,2.30%,4.60%,-
Earnings Yield,6.49%,5.40%,8.25%,7.59%,5.38%,8.22%,-,-,-
FCF Yield,4.70%,3.95%,5.83%,7.16%,3.10%,5.03%,-,-,-
Dividend Yield,1.43%,1.01%,1.58%,1.25%,1.14%,0.43%,-,-,-
Payout Ratio,18.20%,16.80%,19.30%,16.00%,20.50%,5.20%,0.00%,0.00%,-
Buyback Yield / Dilution,-38.19%,-18.35%,1.31%,-9.11%,-6.62%,0.26%,-,-,-
Total Shareholder Return,-36.75%,-17.34%,2.89%,-7.86%,-5.48%,0.69%,-,-,-
