Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"17,031","10,999","8,146","5,637","5,715","4,453","4,840","4,264","3,101","2,432","2,141",Upgrade
Market Cap Growth,-,35.02%,44.50%,-1.36%,28.33%,-8.00%,13.52%,37.51%,27.52%,13.55%,27.79%,Upgrade
Enterprise Value,"24,131","13,096",477,"2,818","5,557","4,220","4,680","3,288","1,802","1,441","1,771",Upgrade
PE Ratio,1.79,10.50,15.40,11.79,12.50,11.12,14.95,18.91,14.74,17.55,12.83,Upgrade
PS Ratio,1.24,2.48,4.21,3.12,3.37,2.82,3.11,3.31,2.26,2.31,2.06,Upgrade
PB Ratio,0.89,1.14,1.72,1.33,1.59,1.28,1.45,1.42,1.08,0.91,1.03,Upgrade
P/FCF Ratio,15.02,5.57,-20.89,23.10,12.50,14.13,17.70,28.68,21.63,24.43,8.08,Upgrade
P/OCF Ratio,8.39,3.94,-28.68,14.99,9.88,9.81,13.62,18.50,13.30,13.34,6.47,Upgrade
EV/Sales Ratio,1.76,2.95,0.25,1.56,3.28,2.67,3.01,2.55,1.31,1.37,1.70,Upgrade
EV/EBITDA Ratio,2.17,6.91,0.57,3.75,7.72,6.76,7.12,7.12,4.07,5.04,5.18,Upgrade
EV/EBIT Ratio,2.27,9.62,0.68,4.56,9.39,8.38,8.61,9.37,5.42,7.08,6.60,Upgrade
EV/FCF Ratio,21.28,6.64,-1.22,11.55,12.15,13.40,17.11,22.12,12.58,14.48,6.68,Upgrade
Debt / Equity Ratio,2.46,0.79,0.38,0.45,0.37,0.26,0.47,0.48,0.45,0.50,0.49,Upgrade
Debt / EBITDA Ratio,4.24,4.03,2.11,2.52,1.84,1.43,2.38,3.11,2.93,4.68,2.99,Upgrade
Debt / FCF Ratio,41.64,3.87,-4.57,7.74,2.90,2.83,5.72,9.66,9.06,13.45,3.86,Upgrade
Asset Turnover,0.10,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),83.40%,10.30%,11.70%,11.80%,12.80%,11.60%,10.00%,7.50%,7.50%,6.10%,8.40%,Upgrade
Return on Assets (ROA),7.60%,1.00%,0.90%,1.00%,1.20%,1.10%,0.90%,0.70%,0.70%,0.60%,0.80%,Upgrade
Return on Capital (ROIC),7.70%,1.30%,1.40%,1.40%,1.60%,1.50%,1.60%,1.10%,1.10%,0.90%,1.30%,Upgrade
Earnings Yield,60.41%,9.53%,6.49%,8.48%,8.00%,8.99%,6.69%,5.29%,6.79%,5.70%,7.79%,Upgrade
FCF Yield,6.66%,17.94%,-4.79%,4.33%,8.00%,7.07%,5.65%,3.49%,4.62%,4.09%,12.37%,Upgrade
Dividend Yield,0.19%,0.31%,0.23%,0.30%,0.31%,0.39%,0.31%,0.34%,0.46%,0.50%,0.54%,Upgrade
Payout Ratio,0.30%,3.20%,3.50%,3.50%,3.90%,4.30%,4.20%,6.40%,6.80%,8.80%,6.90%,Upgrade
Buyback Yield / Dilution,7.85%,-58.41%,2.39%,9.73%,6.68%,0.60%,-,-,-17.50%,-6.27%,6.11%,Upgrade
Total Shareholder Return,8.05%,-58.10%,2.62%,10.03%,6.99%,0.99%,0.31%,0.34%,-17.03%,-5.76%,6.64%,Upgrade
