Year,Current,2022
Market Capitalization,107,104
Enterprise Value,106,103
PE Ratio,-606.31,-822.87
PB Ratio,-181.17,1707.23
P/FCF Ratio,113.59,311.61
P/OCF Ratio,113.59,311.61
EV/EBITDA Ratio,469.22,1154.40
EV/EBIT Ratio,469.22,1154.40
EV/FCF Ratio,113.35,310.03
Current Ratio,0.41,1.09
Return on Equity (ROE),-45.80%,-15.00%
Return on Assets (ROA),-0.20%,-0.10%
Return on Capital (ROIC),0.30%,0.10%
Earnings Yield,-0.16%,-0.12%
FCF Yield,0.88%,0.32%
Buyback Yield / Dilution,-121.14%,0.61%
Total Shareholder Return,-121.14%,0.61%
