Year,Current,2022
Market Capitalization,80,76
Enterprise Value,82,78
PE Ratio,-18.97,-30.50
PB Ratio,-4.72,-13.07
P/FCF Ratio,-62.29,-106.37
P/OCF Ratio,-62.29,-106.37
EV/EBITDA Ratio,-22.54,-32.87
EV/EBIT Ratio,-22.54,-32.87
EV/FCF Ratio,-67.55,-109.18
Debt / Equity Ratio,-0.44,-0.41
Debt / EBITDA Ratio,-1.94,-1.01
Debt / FCF Ratio,-5.83,-3.34
Current Ratio,0.17,0.25
Return on Equity (ROE),41.20%,115.40%
Return on Assets (ROA),-4.60%,-5.30%
Return on Capital (ROIC),-4.30%,-5.20%
Earnings Yield,-2.06%,-3.28%
FCF Yield,-0.63%,-0.94%
Buyback Yield / Dilution,60.06%,-
Total Shareholder Return,60.06%,-
