Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,634,"1,228","1,422",478,665,505,690,662,529,312,291,Upgrade
Market Cap Growth,-,-13.68%,197.70%,-28.16%,31.83%,-26.87%,4.13%,25.23%,69.74%,7.26%,62.23%,Upgrade
Enterprise Value,"1,731","2,451","1,319","1,712","1,109",529,"1,226","1,240",987,525,434,Upgrade
PE Ratio,4.07,8.45,14.71,12.73,18.38,12.86,33.59,18.67,25.06,22.65,22.19,Upgrade
PS Ratio,1.53,2.98,3.62,2.77,4.68,3.44,5.26,5.04,5.05,4.25,5.04,Upgrade
PB Ratio,0.53,1.05,1.19,0.68,1.34,1.11,1.61,1.62,1.55,1.78,1.82,Upgrade
P/FCF Ratio,2.78,4.19,9.72,8.10,9.96,9.51,15.41,16.58,19.45,15.14,13.84,Upgrade
P/OCF Ratio,2.77,4.16,9.72,7.97,9.71,8.64,14.73,14.98,16.78,12.07,11.61,Upgrade
EV/Sales Ratio,4.19,5.94,3.35,9.91,7.79,3.61,9.34,9.44,9.42,7.16,7.53,Upgrade
EV/EBITDA Ratio,7.80,11.13,8.45,28.51,21.35,10.13,28.31,20.52,33.41,24.12,20.04,Upgrade
EV/EBIT Ratio,8.06,11.57,8.90,31.14,23.66,10.93,31.05,22.84,30.95,25.02,21.98,Upgrade
EV/FCF Ratio,7.59,8.36,9.01,29.03,16.61,9.97,27.39,31.02,36.29,25.53,20.68,Upgrade
Debt / Equity Ratio,1.48,1.19,0.24,2.11,1.13,0.70,1.47,1.69,1.65,1.52,1.19,Upgrade
Debt / EBITDA Ratio,7.93,6.33,1.86,24.61,10.80,6.13,14.57,11.44,19.04,12.19,8.74,Upgrade
Debt / FCF Ratio,7.71,4.75,1.98,25.06,8.40,6.03,14.10,17.29,20.68,12.90,9.02,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
Return on Equity (ROE),12.80%,12.60%,8.10%,6.80%,7.50%,8.90%,4.70%,9.60%,7.10%,8.00%,10.10%,Upgrade
Return on Assets (ROA),1.10%,1.20%,0.80%,0.60%,0.80%,0.90%,0.50%,0.90%,0.60%,0.60%,0.80%,Upgrade
Return on Capital (ROIC),1.60%,1.60%,1.20%,0.90%,0.90%,1.00%,0.80%,1.30%,0.90%,0.90%,1.10%,Upgrade
Earnings Yield,23.35%,11.83%,6.80%,7.86%,5.44%,7.78%,2.98%,5.36%,3.99%,4.42%,4.51%,Upgrade
FCF Yield,35.98%,23.89%,10.29%,12.34%,10.04%,10.52%,6.49%,6.03%,5.14%,6.60%,7.23%,Upgrade
Dividend Yield,6.23%,3.02%,2.73%,3.97%,2.74%,3.61%,2.63%,2.43%,3.02%,3.44%,2.65%,Upgrade
Payout Ratio,25.10%,25.70%,39.20%,55.20%,59.00%,46.70%,88.50%,45.80%,64.30%,78.00%,50.70%,Upgrade
Buyback Yield / Dilution,2.82%,4.65%,-104.73%,0.38%,-0.22%,-0.42%,-12.76%,-0.54%,-49.21%,-4.25%,-26.92%,Upgrade
Total Shareholder Return,9.04%,7.67%,-102.00%,4.35%,2.53%,3.19%,-10.13%,1.88%,-46.19%,-0.81%,-24.26%,Upgrade
