Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,88,119,137,138,126,107,89,78,55,46,38,Upgrade
Market Cap Growth,-,-13.27%,-0.82%,9.45%,17.82%,20.84%,13.67%,42.18%,19.54%,19.42%,21.24%,Upgrade
Enterprise Value,156,194,35,30,138,100,106,108,92,71,77,Upgrade
PE Ratio,7.37,9.48,7.49,9.23,11.43,10.03,8.77,9.97,8.22,8.71,7.37,Upgrade
PS Ratio,1.56,2.06,2.03,2.24,2.42,2.17,1.96,1.81,1.44,1.38,1.13,Upgrade
PB Ratio,0.74,1.00,0.94,0.97,0.93,0.82,0.94,0.90,0.67,0.61,0.68,Upgrade
P/FCF Ratio,4.21,5.01,9.23,6.21,7.50,8.93,14.54,6.28,26.30,14.79,2.93,Upgrade
P/OCF Ratio,3.88,4.64,7.93,5.77,6.69,7.72,9.03,5.55,6.36,9.15,2.75,Upgrade
EV/Sales Ratio,2.74,3.36,0.52,0.49,2.66,2.03,2.34,2.52,2.43,2.12,2.27,Upgrade
EV/EBITDA Ratio,9.12,11.01,1.41,1.47,8.37,6.20,6.96,7.50,7.47,8.20,8.48,Upgrade
EV/EBIT Ratio,10.51,12.64,1.56,1.62,9.45,6.93,7.77,8.39,8.35,9.62,10.36,Upgrade
EV/FCF Ratio,7.41,8.18,2.38,1.35,8.22,8.35,17.38,8.73,44.18,22.81,5.88,Upgrade
Debt / Equity Ratio,0.75,0.89,0.35,0.27,0.29,0.32,0.47,0.55,0.71,0.70,0.92,Upgrade
Debt / EBITDA Ratio,5.28,5.96,2.02,1.89,2.38,2.57,2.89,3.28,4.68,6.15,5.70,Upgrade
Debt / FCF Ratio,4.29,4.43,3.42,1.73,2.34,3.46,7.21,3.82,27.71,17.12,3.96,Upgrade
Asset Turnover,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),10.20%,10.20%,12.70%,10.70%,8.20%,8.40%,11.20%,9.20%,8.40%,8.30%,9.40%,Upgrade
Return on Assets (ROA),0.90%,1.00%,1.40%,1.30%,1.10%,1.10%,1.20%,1.00%,0.90%,0.80%,0.80%,Upgrade
Return on Capital (ROIC),1.10%,1.20%,1.90%,1.70%,1.40%,1.50%,1.60%,1.60%,1.50%,1.10%,1.10%,Upgrade
Earnings Yield,13.69%,10.55%,13.36%,10.83%,8.75%,9.97%,11.40%,10.03%,12.16%,11.48%,13.56%,Upgrade
FCF Yield,23.73%,19.95%,10.84%,16.11%,13.34%,11.20%,6.88%,15.92%,3.80%,6.76%,34.17%,Upgrade
Dividend Yield,3.96%,2.83%,2.24%,2.19%,1.83%,1.95%,1.52%,1.50%,1.79%,1.70%,1.52%,Upgrade
Payout Ratio,28.20%,26.80%,16.20%,19.40%,21.10%,18.60%,13.40%,15.00%,14.70%,14.80%,11.20%,Upgrade
Buyback Yield / Dilution,2.89%,4.15%,7.82%,-17.89%,1.57%,-35.83%,1.33%,1.32%,-0.86%,-0.11%,-0.16%,Upgrade
Total Shareholder Return,6.83%,6.98%,10.06%,-15.71%,3.40%,-33.88%,2.85%,2.81%,0.93%,1.58%,1.36%,Upgrade
