Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"6,639","5,233","6,053","5,264","5,400","4,195","4,493","3,167","2,284","2,883","2,353",Upgrade
Market Cap Growth,-,-13.54%,14.98%,-2.52%,28.71%,-6.63%,41.87%,38.66%,-20.78%,22.55%,36.18%,Upgrade
Enterprise Value,"6,692","5,383","6,321","5,144","5,571","4,307","4,587","3,328","2,504","3,066","2,578",Upgrade
PE Ratio,16.35,14.03,16.21,13.63,14.74,12.95,12.83,14.44,12.03,15.89,14.46,Upgrade
PS Ratio,2.42,1.92,2.23,2.37,2.63,2.21,2.66,2.09,1.63,2.16,1.91,Upgrade
PB Ratio,3.42,2.60,2.91,2.87,3.27,2.87,3.17,2.59,1.99,2.32,1.93,Upgrade
P/FCF Ratio,9.48,7.15,9.57,8.55,11.74,9.03,11.68,11.28,8.89,12.54,14.36,Upgrade
P/OCF Ratio,9.13,6.91,9.21,8.18,11.12,8.78,11.48,10.76,8.64,12.15,12.54,Upgrade
EV/Sales Ratio,2.46,1.98,2.33,2.32,2.71,2.27,2.72,2.19,1.78,2.29,2.10,Upgrade
EV/EBITDA Ratio,10.84,9.61,11.03,9.30,10.63,9.42,10.88,8.74,7.46,9.46,8.74,Upgrade
EV/EBIT Ratio,11.47,10.23,11.64,9.60,11.01,9.68,11.24,9.09,7.72,9.83,9.08,Upgrade
EV/FCF Ratio,9.65,7.35,10.00,8.35,12.11,9.27,11.92,11.85,9.75,13.34,15.73,Upgrade
Debt / Equity Ratio,0.33,0.32,0.32,0.23,0.26,0.26,0.26,0.31,0.33,0.30,0.31,Upgrade
Debt / EBITDA Ratio,1.03,1.14,1.15,0.77,0.82,0.82,0.89,0.98,1.11,1.16,1.27,Upgrade
Debt / FCF Ratio,0.92,0.87,1.05,0.69,0.93,0.80,0.97,1.33,1.45,1.63,2.29,Upgrade
Asset Turnover,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,Upgrade
Return on Equity (ROE),22.80%,20.40%,18.50%,23.00%,23.00%,22.60%,26.90%,18.20%,16.10%,14.20%,13.40%,Upgrade
Return on Assets (ROA),2.80%,2.40%,2.40%,2.70%,2.70%,2.60%,2.90%,1.90%,1.80%,1.70%,1.60%,Upgrade
Return on Capital (ROIC),3.90%,3.50%,3.50%,3.80%,3.70%,3.50%,3.30%,3.20%,3.00%,2.90%,2.70%,Upgrade
Earnings Yield,6.34%,7.13%,6.17%,7.34%,6.79%,7.72%,7.79%,6.93%,8.31%,6.29%,6.92%,Upgrade
FCF Yield,10.55%,13.99%,10.45%,11.70%,8.52%,11.07%,8.56%,8.86%,11.25%,7.97%,6.97%,Upgrade
Dividend Yield,1.25%,1.60%,1.23%,1.22%,1.07%,1.05%,0.79%,1.05%,1.43%,0.91%,1.06%,Upgrade
Payout Ratio,20.80%,22.50%,20.00%,16.70%,15.70%,13.60%,10.20%,15.30%,17.30%,14.60%,15.30%,Upgrade
Buyback Yield / Dilution,6.43%,3.90%,1.33%,5.03%,3.80%,3.73%,3.72%,6.80%,6.75%,3.58%,9.26%,Upgrade
Total Shareholder Return,7.70%,5.50%,2.56%,6.25%,4.86%,4.78%,4.51%,7.84%,8.18%,4.49%,10.32%,Upgrade
